path,category,extension,size_bytes,lines,sha256,status_hint,recommended_action,priority,confidence,evidence_flags,rationale
.env.example,root,.example,20733,381,e19415797e09e2b75cbb18387b3b50264442f60f1bf3b9cb46af4089e7caa057,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
AGENTS.md,root,.md,11966,232,9586049071360dc06c41bec03623a6918053783c4e296efdd8fe9953310e4ada,review,REESCRIBIR_GOBERNANZA,P1,Alta,,Obliga a trabajar directamente en main y a acumular registros manuales.
package-lock.json,root,.json,574176,16633,3908cdb6e7dd1bfc6881fcd70e4032f9c270f1ee5991451406a50aa7dc6c120c,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
auditoria-acciones.md,root,.md,56527,842,36cceb6bd7a1d34b9d9f79fc24e12b8a7ab5c96807cddbd172980f542615e243,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
AUDIT_REPOSITORY_REPORT.md,root,.md,15910,175,13f8745ecc166908e315ed6b1eaa8bea29974fd877eabeffe8feedde2086e544,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
eslint.config.mjs,root,.mjs,1060,40,4dea300ccb1956eea439ca4e91ec39bff5168b8970574aca1dd4bf088bba9ca2,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
tsconfig.json,root,.json,777,35,44a2b28895296e3df9099341a626b2d79c357b62dd7fbd6c27b5e39e709dd249,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
PLAN_CORRECCION_VERACIDAD_SEO_GEO_PUBLICO.md,root,.md,4410,64,dac31bc36357e5e7d1dbf638d53b845e9d9dc91e2af56642d078804b99cca67f,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
auditoriatotal.mc,root,.mc,38756,858,af1893cb659b87a1ad59786f25e2d3bdb67e1ab99ae2597e947b4033186328cf,review,ARCHIVAR_COMO_HISTORICO,P1,Alta,,Documento fechado se declara canónico pese a estar desactualizado. Documento/auditoría histórica ocupando la raíz.
README.md,root,.md,11629,244,7650e0906adcdd26d5f59b8f00065f63fe1179bf9ec41064bdebb8a7157d9f26,review,ACTUALIZAR,P1,Alta,,Versiones/comandos y fuente canónica documental no coinciden con el repo.
.gitignore,root,[none],8282,375,810b518e26b9eadef5aee2233db65c9d1b898e99b9f3494f6f10e4c5c4feab41,review,REESCRIBIR_COMPLETO,P1,Alta,,Contiene un bloque duplicado y reglas contradictorias para .env.example.
AUDITORIA_VERACIDAD_SEO_GEO_CONTENIDO_PUBLICO_PINEDA.md,root,.md,6722,109,86da6a7ab806b23daf07afec8bfcd5bc572449c622db542839a5a78484ae6855,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
SEO_AUDIT_CHECKLIST.md,root,.md,18371,270,dc94870efc5e55901a42a1a64de7c9ac61430e4c4c9a06b4828c9e8e25f32b79,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
CHANGELOG.md,root,.md,23814,253,057f064972f9ebf682faaf68360074b02b7c2023006b04ac389f785336405078,review,NORMALIZAR,P1,Alta,,Dos secciones Unreleased y orden cronológico inconsistente.
SEO_GEO_ACTION_PLAN.md,root,.md,21001,244,c213de53fb5cb762581dd687bf26f89a8d28d4b564e51374563a8d08030c48f4,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
playwright.e2e.config.ts,root,.ts,1412,52,1ec1bddc3ad0a9281ebc072bf247093b44e98e5e103f28a8422f31708d8f30de,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
.vercelignore,root,[none],491,29,5b68a946145ab816d3ee57c8ccdacc04bdde35d3a0cd015ac47fd8caf4d1443a,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
next.config.ts,root,.ts,32037,406,975b74f6b94b02d74e0229202f3972cdabf08da657081bdd0626607c9e0e994c,review,MODULARIZAR_Y_RETIRAR_CONFIG_OBSOLETA,P2,Media,,Configuración extensa y header para endpoint visual-editor inexistente.
app/layout.tsx,app,.tsx,5425,138,9b690e357aa82674c6b5f0d4c2272d3feea33b2665adbaec9d22dccd397ac5a7,review,MANTENER_Y_REVISAR,P3,Media,runtime-entry,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/globals.css,app,.css,49444,1542,f34cb9ff737f62389d50896f465bcfd72bea52401ecc64968d60d1195505c2bb,review,MANTENER_Y_PLANIFICAR_REFACTORIZACION,P2,Alta,large_file:1542_lines,Supera el presupuesto recomendado de tamaño; candidato a modularización.
app/auth-context.tsx,app,.tsx,1304,59,89bf5afd5d0ccdde100ee12edd2143a0982e6fd47d69ed1e7cc51bd660901b5d,review,MANTENER_Y_REVISAR,P3,Media,runtime-reachable,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/favicon.ico,app,.ico,4208,,d6deaa79b58619fa4889f7cc5f21e5e61b08df9e42ff1e51cc57748d552b8f3c,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/article-modal.tsx,app,.tsx,3471,96,60dbbee58ce04df50c000b198dcb92d45f0dfd49f0c2acd0c76f73f99ae2e6f2,review,MANTENER_Y_REVISAR,P3,Media,runtime-reachable,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/robots.ts,app,.ts,4252,184,1be7fd014e46c9bb0583ec2d41a15725216cec163d6f0b4c86e080a806407e1b,review,MANTENER_Y_REVISAR,P3,Media,runtime-entry,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/not-found.tsx,app,.tsx,2039,47,67fb3cdfc36d223313629b744a999756b6e132a7039e9b80401130b013f40378,review,MANTENER_Y_REVISAR,P3,Media,runtime-entry,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/error.tsx,app,.tsx,2883,76,4577a81711c14d9d8ea49271d0e9b252f7e6c60aed2157b13481fc143f86d73d,review,MANTENER_Y_REVISAR,P3,Media,runtime-entry,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/types.ts,app,.ts,1384,52,c4cc50f9ec6e012e15dcf473f35edf0c0ee641d03528f26e90c14955185bde93,review,INTEGRAR_EN_RUNTIME_O_RETIRAR,P1,Alta,,Solo está conectado a pruebas; no al producto.
app/sitemap.ts,app,.ts,10262,217,b5d58ebd2d0904a999722eec98cde20fdcb0b8de30416326c62453211a01d992,review,MANTENER_Y_REVISAR,P3,Media,runtime-entry,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/global-error-boundary.tsx,app,.tsx,2351,68,ece1be7655f046d53a018a8950bfb5c789a692cb33b0e1bc628478553b937b38,review,MANTENER_Y_REVISAR,P3,Media,runtime-reachable,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/error-boundary.tsx,app,.tsx,1377,49,f16c47e32ce5e302081a15de4b27ea80d1f65aceeb8140b0fc42838f32a47d6b,review,MANTENER_Y_REVISAR,P3,Media,runtime-reachable,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
app/theme-context.tsx,app,.tsx,1132,46,a2019fb17fd38c913db0da7c2c40c1872d1a4514309d27a8af906f7399bc8a23,review,MANTENER_Y_REVISAR,P3,Media,runtime-reachable,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
components/analytics-scripts.tsx,components,.tsx,8744,245,30aa77cf691168c604c6925057182f21a9b723c627c60f39c231be166c14a330,review,MANTENER_Y_REVISAR,P3,Media,runtime-reachable,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
components/cookie-consent.tsx,components,.tsx,8163,192,8dc7471914fbcce2daad336b15b293d58abf7db63529433b2360314dde9ed5ac,review,MANTENER_Y_REVISAR,P3,Media,runtime-reachable,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
auditoria_seo/README_AUDITORIA_BING.md,audit-output,.md,1247,16,df9aa7266da7b8ceb5b9af335bdab82495b7fc1f66ac3478a5ec1b020293833e,historical-audit-review,ARCHIVAR_FUERA_DE_RAIZ_O_RETENER_RESUMEN,P2,Alta,,Salida puntual de auditoría/exportación; no es runtime.
.backups/fase6d-lote-12-backup.json,backups,.json,137476,747,66313d00e0fb412777db558b24008198303b6e4e773bc585a87db5eafac7aa61,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6-lote-11-backup.json,backups,.json,125142,644,c9ea7e88b80b2a68033f2d32999f39f314b551e1408696a68af551712f8eabed,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6-lote-8-backup.json,backups,.json,109179,742,a8387e71c7df8dd8e8aefd59bd27fa65dc6ea1bc79d67c57b39542cb5b09420a,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6-lote-5-backup.json,backups,.json,123743,748,46fbf72f5ff1e03473ca949fc8eb7c56d3193e226017ec58fe5b7e249c05d69b,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6d-lote-14-backup.json,backups,.json,126361,645,3452155055b18464ae539ffda9ef4606f5e367698f8efc80dace1ce533600573,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6-lote-7-backup.json,backups,.json,131953,743,aaa58a0f749b0022375f5108f558988ad5bba61cea3a299a5b62f07e3a50b082,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6-lote-10-backup.json,backups,.json,141905,744,6948f2130bb7c59f40d51828b13ac048b39ee7b23704aa8d92949de2dd43194c,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6d-lote-13-backup.json,backups,.json,134801,766,8ecc5c71ed2269a8ee2db420b547230ef70f623984a6f3360e10bb41168c1204,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6d-pre-restore-wrong-articles.json,backups,.json,133995,698,4b5fc3ef48c30cf8496ab016fb41659e4a6c5946947d7985a003100fc32f9b5b,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6-lote-6-backup.json,backups,.json,134545,748,b45d970e7c197e7d18d6e45421629ebcb6254e8785d0761eedfd16d24db98bce,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
.backups/fase6-lote-9-backup.json,backups,.json,136236,748,0dfe671945aeca45fe7af1559576c4d9dfa94c4702658973e1efebcf3e03721a,delete-or-externalize,EXTERNALIZAR_O_ELIMINAR_TRAS_VALIDAR,P1,Alta,,Backup local dentro del árbol; no debe convivir con el código fuente.
scripts/bing-auth-status.mjs,scripts,.mjs,2456,66,5a070679fe9286a9457aa52e399e41e508b04c83f40f9ffdb7cec20991d6b9db,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fix-editorial-placeholders.ts,scripts,.ts,6628,179,9ccbaa894b7e9f7cc1e643b4b2c7e6ae14d6fa9949f720c54e9ddea65dc30a79,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/google-analytics-live.mjs,scripts,.mjs,9556,261,787e26c3ff1a47d25d78a4b776500491d8aea3999ffdd88448551b15beffd79c,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/auditar-cp.js,scripts,.js,8008,253,121d282b9a39851072738cb120b76d4beddd4859ab251b743d13bfb8c336d7b9,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/gsc-analytics.mjs,scripts,.mjs,10182,274,abcbee8c35590f7b057942b998f1185861a52d644a6192a71a337ee710027e44,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/auditar-indexacion-prioritaria.mjs,scripts,.mjs,9775,252,072628dc849a17989265c3a466c520f4cda5e10fb3faa638e68d9f1831b46047,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/seo-auth-doctor.mjs,scripts,.mjs,6687,168,29266494f7b678e367042e43b47d23718372d483cb61e14e8432791528718345,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/update-pension-db.ts,scripts,.ts,1880,41,40d97e84594c66bd18f9951bb6c3eacd45e14bd9576463e87c77ad6da64b3c5d,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/update-prestaciones-db.ts,scripts,.ts,871,29,b63a92aec9374c5c11d802f9f3bc971da63e442aa420cd55bda43d7c066caa31,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/extract-prestaciones.js,scripts,.js,389,9,d4b6460abd7377589b9b3b5e710367dfd1c8dfca641eaede3d9f0fa2d07ac506,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/corregir-articulos.ts,scripts,.ts,33293,765,45467ee8786f53078d59cbb62a2331e006ebcd2896dd627d28efcdff58c2dd4c,review,MANTENER_Y_PLANIFICAR_REFACTORIZACION,P2,Alta,large_file:765_lines,Supera el presupuesto recomendado de tamaño; candidato a modularización.
scripts/check-info-items.ts,scripts,.ts,1185,31,1af227bf34f4ad2ae1ca0b0d39985acb5be5b04a6df8ae96abee35318981b5e8,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/bing-site-explorer-auth.mjs,scripts,.mjs,7803,203,897766b9fb6d326bb2b1e14eec9771256955c0885072f26e4feff9b659726255,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/seo-submit-indexnow.mjs,scripts,.mjs,3998,121,2e102c24055955fef40756908f6df6b1ce2377968e729c19df38e840bbc11b04,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/prescripcion_original.html,scripts,.html,8255,50,d2d2336d22560db4d5c931bda8aa77fa71e93fb4b28581d296df917d0076ea58,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/migrate-internal-links.ts,scripts,.ts,7617,246,e74fb13f61ef9c398fbdce78ea9474877ae963daa2bf379fe7fff74722b06f30,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/optimize-images.mjs,scripts,.mjs,7566,204,6de9bc96be615f8d7cb435f3306523169825ad99f46a348a25b83eb3bb59e5c5,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/auditar-performance-publico.ts,scripts,.ts,7255,167,1f25587744dc4428b78bfedc76ba7c91fe37378ed62239a1537ed80051f8e014,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/update-changelog.js,scripts,.js,472,15,76a65a25ff6f3978042089886d74ae6bfd030a031b738ef31b5f67a38a75cb7d,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/fase3-validar-lote.ts,scripts,.ts,6893,234,85f76b1a58a0997346bafd6b9d60ac99665c10d46676ddc713dae0b93307053d,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/detectar-posts-plantilla.ts,scripts,.ts,9486,232,19d42acaff2ef74bb71f2550cff729d7ca996101eca4f243fc00668b8c036aef,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fase7b-aplicar-correcciones-juridicas.ts,scripts,.ts,5916,164,5a56a8079dddb07fdc7afdd085a725f72220a5701aad3c7b820d7ab1ba6c7ff8,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/fase7-consolidar-lote-a-corregido.ts,scripts,.ts,7369,136,756ee91fba9b66c8d40a704e19a3907028ad0b2c7334c4de4ace7e3fa35bddc2,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/auditar-delitos.js,scripts,.js,5590,136,b1483d82dc84f7cd5ebdda29e83d21b6bd57bb5c7d36b6c96c5ac0cd7a8c4ddd,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fase5a-paquetes-revision-humana.ts,scripts,.ts,5217,136,54b37e54c26509af8fd7acda671b0f624cdf481a1db297e0bce3eef52479a434,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/pension_original.html,scripts,.html,9898,6,7923adb31212186571e65ec384aef2338869de16ee18f1d2300c3d235c559c99,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fase3b-reclasificar-lote.ts,scripts,.ts,12941,387,4f8501ace6e4672e3e2c702e02751eff01f3c797946f66b7c82a79711ebff771,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/analyze-topics.js,scripts,.js,1194,24,5f4a0de20c7eb3c7e0af4ef10cc7db2fd62081fe889ba2f43868ed7a54771db8,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/seo-live-doctor.mjs,scripts,.mjs,9373,231,32a10494d17d4dbe5eb932ae34626cd8f07eb0b4e1c0b70bb28bb89ff67b7d5a,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fase4b-integridad-correcciones.ts,scripts,.ts,8660,206,73285d9f1d255a5fce8657210af3e4142c98b36635020e876bf119080fd9fd9b,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/bing-import-dashboard-export.mjs,scripts,.mjs,5557,157,88bd2c5638a328ff5c0e2a48ce90db79f4acc6171d67696fa7fc177f8896c06f,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fase7b-resolver-huerfanos.ts,scripts,.ts,3893,103,50268e11805ca1bd2dac7011e0943408c51f90c40b921e6369afb9298161087e,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/fase3d-reconstruir-claims-ausentes.ts,scripts,.ts,15266,381,4eccf958252f43e1353c9b23fb94edee74ccde83902f61231b259e8055a9b384,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fase7-aplicar-correcciones.ts,scripts,.ts,3423,107,f86343d88453a0e86313cc5d62b7cb45c4c28ad6b2894d8fc8c81b93bd1b72eb,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/fase6-prepare-lote.ts,scripts,.ts,2385,71,471c07c22ddd7f31e76d82b12e51bf8e7360a44368b0e321317fbe99a3effeb8,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/generar-inventario-completo.ts,scripts,.ts,10520,262,df694d1bdda39bb9853f8067f79eeecf3cd83ef5d7869039ca4d6b32aa832be0,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/test-auto-linker.ts,scripts,.ts,1139,25,9a776463f84100b2ac958de25b537d8ae991a3dd2ea72046fb2e4c9603231b02,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/fase7c-crawl-134.ts,scripts,.ts,9408,262,d903c9bdd45e65c7d3fe633b07a0a5ed7d39cfe9723d04456c25e7afbd8fc18d,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/visual-regression.cjs,scripts,.cjs,9917,246,3a1a80f66ac319902ce2c7ee71c50d4cd6075e744f86d27e992a70abd15a4f55,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/google-search-console-live.mjs,scripts,.mjs,8741,239,560880d0e06513779e230f13a39df1a15eb3dfbb59f8cd1843869bd4ab1813f5,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/fase6d-restore-wrong.ts,scripts,.ts,1995,62,d15365f3f07fee58191943b7ecef51c45d31ee9d8db454e869ae059cf2ba2589,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/fase3b-verificar-lote.ts,scripts,.ts,4506,128,4b201e15af3ecf3e840564f5ea0c4174777288b5545c8750ea239af3beaff62a,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/domesticas_modified.html,scripts,.html,6681,56,36b2608badb5e62b2434756a921f16fa6a3d963ea1c8fd1784c062487774a22d,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
scripts/restore-target-posts.ts,scripts,.ts,864,33,67bc2d5e04fa82c141b74376db6c681f57da69e8a4bc0efbd3b760268c2632ce,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/seo-ahrefs-audit.mjs,scripts,.mjs,24034,555,e2e881087d266570526ad8a2f2fe03b47fd0f0e41dbd65c74dfd7ee45d6003ff,review,MANTENER_Y_PLANIFICAR_REFACTORIZACION,P2,Alta,large_file:555_lines,Supera el presupuesto recomendado de tamaño; candidato a modularización.
scripts/fase7b-corregir-titles.ts,scripts,.ts,2407,50,e461402b316f294d0816863c742482d8ca3d8b2102de9fe173788772922dc78c,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
scripts/fase7b-inventario-definitivo.ts,scripts,.ts,3189,93,964df116ef65723b3bc39874e018c09301d7506027337679cec1fcb04d42b79e,review,VALIDAR_ARCHIVAR_O_ELIMINAR_SCRIPT,P1,Media,,"No aparece en package.json, CI, docs ni otros scripts."
