type,item,state,confidence,risk_if_deleted,recommended_action,evidence
source,lib/ai/review-status.ts,script-only-candidate,Alta,Bajo,Mover a tools/ y documentar consumidor/contrato,inbound_imports=9; lines=145
source,lib/ai/source-provenance.ts,script-only-candidate,Alta,Bajo,Mover a tools/ y documentar consumidor/contrato,inbound_imports=5; lines=386
source,lib/api-fetch.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=101
source,lib/blog-helpers.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=99
source,lib/cache-dashboard.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=23
source,lib/calculo-validator.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=175
source,lib/calendar/provider.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=2; lines=80
source,lib/calendar/sandbox-provider.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=1; lines=179
source,lib/chat/knowledge-base.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=80
source,lib/email-allowlist.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=1; lines=70
source,lib/email-staging-wrapper.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=105
source,lib/faq-unified.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=88
source,lib/file-validation.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=186
source,lib/google-reviews.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=1; lines=138
source,lib/google.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=504
source,lib/permissions.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=30
source,lib/places.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=138
source,lib/rag/chunking.ts,script-only-candidate,Alta,Bajo,Mover a tools/ y documentar consumidor/contrato,inbound_imports=1; lines=239
source,lib/rag/retrieval.ts,script-only-candidate,Alta,Bajo,Mover a tools/ y documentar consumidor/contrato,inbound_imports=2; lines=244
source,lib/sgie/ai-evaluation-service.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=137
source,lib/sgie/auto-vinculacion.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=2; lines=262
source,lib/sgie/baselines-service.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=41
source,lib/sgie/brief-jobs.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=30
source,lib/sgie/calendar-sync.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=759
source,lib/sgie/clasificacion-documental.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=2; lines=400
source,lib/sgie/client-portal-service.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=191
source,lib/sgie/document-automation-orchestrator.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=295
source,lib/sgie/document-intelligence-jobs.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=34
source,lib/sgie/extraccion-estructurada.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=2; lines=303
source,lib/sgie/ia-router.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=423
source,lib/sgie/inbound-service.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=101
source,lib/sgie/motor-contradicciones.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=2; lines=221
source,lib/sgie/observabilidad.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=179
source,lib/sgie/resumen-incremental.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=3; lines=212
source,lib/sgie/review-service.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=288
source,lib/sgie/risk-workload-jobs.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=78
source,lib/sgie/search-indexer.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=122
source,lib/sgie/work-queue-service.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=441
source,lib/sgie/workflow-simulation-service.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=266
source,lib/sgie/workflow.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=286
source,lib/storage.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=147
source,lib/test-db-guard.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=2; lines=32
source,lib/types/admin-dashboard.ts,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=54
script,scripts/update-pension-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/update-prestaciones-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/extract-prestaciones.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/check-info-items.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/update-changelog.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7b-aplicar-correcciones-juridicas.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7-consolidar-lote-a-corregido.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase5a-paquetes-revision-humana.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/analyze-topics.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7b-resolver-huerfanos.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7-aplicar-correcciones.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-prepare-lote.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/generar-inventario-completo.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/test-auto-linker.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7c-crawl-134.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6d-restore-wrong.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/restore-target-posts.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7b-corregir-titles.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7b-inventario-definitivo.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/update-allanamiento-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/update-prescripcion-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/seo-update-ctas-tracking.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/inspect-urls.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/check-delitos-articulos.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6c-inventory.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7c-revalidacion-global.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase3-migrate.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/dump-target-posts.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/edit-prescripcion.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/seo-collect-authenticated.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/edit-domesticas.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase3c-art71-bodies.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/debug-body-text.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/list-tables.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/debug-auto-linker.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/edit-allanamiento.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase5a-aplicar-correcciones.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-lote-aplicar-correcciones.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-lote-setup.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-calculate-inventory.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/gen-favicon.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-lote-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-extract-bodies.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7c-corregir-servicios-legales.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7-extraer-inventario.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-inventario.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/edit-pension-surgical.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/optimizar-ctr-articulos-prioritarios.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/generate-indexability.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/corregir-p0-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/seo-upgrade-meta-fase2.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-snapshot-neon.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/debug-linker-final.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7-generar-artefactos-rapidos.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6d-auth-inv.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-lote-seo.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/debug-auto-linker-2.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase5a-aplicar-enlazado-interno.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/test-service-account.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/phase1-optimize-posts.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-apply-lote-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/extract-domesticas.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-planificacion.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6d-prepare-lote.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/edit-prestaciones.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-db-rollback-selectivo.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/analyze-topics-noaccents.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-lote-backup.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/extract-prescripcion.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/extract-allanamiento.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7-diagnostico-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase7-consolidar-lote.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/update-domesticas-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6d-sync-bulk.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/fase6-consolidar-lote.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/audit-internal-links-db.ts,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/extract-pension.js,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/analytics/funnel-report.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase5c-daily-brief-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase5b-document-intelligence-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase4b6-knowledge-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase4b3-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase4b5-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/dropbox-sign-completion-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase5a-risk-workload-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase4b2-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase5d-autonomy-portal-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/dropbox-sign-provider-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase4b4-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
script,scripts/e2e/fase4b7-copilot-e2e.mjs,unreferenced-candidate,Media,Medio,"Ejecutar help/dry-run, buscar historial Git y después archivar o eliminar","0 referencias en package.json, CI, docs y scripts"
public-asset,public/pinedayasociados-indexnow-key-2026.txt,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=34
public-asset,public/.well-known/bbbbda6cdb1e4e2cbe8f6f81c1886f58.txt,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=32
public-asset,public/images/services/gestion-documental-y-legalizacion.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=49762
public-asset,public/images/services/asuntos-civiles-y-familiares-desde-el-extranjero.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=99874
public-asset,public/images/services/actos-notariales-internacionales.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=45530
public-asset,public/images/blog/abogados-en-nacaome.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=105772
public-asset,public/images/blog/cardmapr-nl-s8F8yglbpjo-unsplash.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=27648
public-asset,public/images/blog/delitos-ambientales-como-denunciarlos-honduras.avif,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=401922
public-asset,public/images/blog/registro-medicamentos-productos-farmaceuticos-honduras.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=40040
public-asset,public/images/blog/centro-conciliacion-arbitraje-ccic-guia-honduras.webp,unreferenced-static,Media,Medio,"Cruzar con DB de blog/page_content; si no aparece, eliminar o deduplicar",refs=0; size=158796
