"slug","publication_state","stored_body_hash","source_html_length","sanitized_source_length","final_html_length","removed_tags","removed_attributes","removed_schemes","removed_styles","removed_images","heading_count_before","heading_count_after","link_count_before","link_count_after","plain_text_equivalent","signature_still_valid","blocking","status"
"como-obtener-rtn-personas-empresas-honduras","PUBLISHED","sha256:897d4feee2ae","4873","4873","5454","0","0","0","0","0","13","13","3","3","true","true","false","UNCHANGED_SAFE"
"como-preparar-demanda-guia-no-abogados-honduras","PUBLISHED","sha256:1be8fe56f709","7618","7618","8532","0","0","0","0","0","13","13","2","2","true","true","false","UNCHANGED_SAFE"
"competencia-desleal-como-denunciar-honduras","PUBLISHED","sha256:e49e658c3a01","6173","6173","6883","0","0","0","0","0","10","10","0","1","true","true","false","UNCHANGED_SAFE"
"compraventa-inmuebles-aspectos-legales-honduras","PUBLISHED","sha256:f0a92b563b22","6381","6381","7278","0","0","0","0","0","10","10","0","3","true","true","false","UNCHANGED_SAFE"
"constituir-empresa-guia-paso-a-paso-honduras","PUBLISHED","sha256:0ca28b551e74","9113","9113","9757","0","0","0","0","0","12","12","4","5","true","true","false","UNCHANGED_SAFE"
"contratacion-publica-licitaciones","PUBLISHED","sha256:6c597aa9631b","6511","6337","6744","0","0","0","0","0","8","8","1","1","true","true","false","UNCHANGED_SAFE"
"contratos-arrendamiento-derechos-obligaciones-honduras","PUBLISHED","sha256:c045ac534bc2","4082","3908","4196","0","0","0","0","0","6","6","1","1","true","true","false","UNCHANGED_SAFE"
"contratos-confidencialidad-nda-secreto-comercial-honduras","PUBLISHED","sha256:c77cb6e49983","7329","7329","8338","0","0","0","0","0","11","11","0","3","true","true","false","UNCHANGED_SAFE"
"contratos-empleadas-domesticas-obligaciones-honduras","PUBLISHED","sha256:36b2608badb5","6591","6166","7470","0","4","0","0","0","15","15","1","4","true","true","false","SANITIZED_NON_SEMANTIC"
"contratos-franquicia-aspectos","PUBLISHED","sha256:155d76544c53","7111","7111","8087","0","0","0","0","0","11","11","0","4","true","true","false","UNCHANGED_SAFE"
"contratos-mercantiles-esenciales-empresas-honduras","PUBLISHED","sha256:7aec743208b4","6206","6206","6990","0","0","0","0","0","10","10","0","2","true","true","false","UNCHANGED_SAFE"
"contratos-trabajo-tipos-clausulas-honduras","PUBLISHED","sha256:833152c90f6f","6317","6317","7653","0","0","0","0","0","12","12","0","4","true","true","false","UNCHANGED_SAFE"
"costos-honorarios-abogados-como-funcionan-honduras","PUBLISHED","sha256:940925f52ae0","7110","7110","8240","0","0","0","0","0","13","13","0","3","true","true","false","UNCHANGED_SAFE"
"creditos-reestructuracion-deudas","PUBLISHED","sha256:7ecaf7761ad7","9444","9444","10187","0","0","0","0","0","15","15","0","0","true","true","false","UNCHANGED_SAFE"
"cuando-necesito-abogado-penalista-honduras","PUBLISHED","sha256:cb4a495154c3","9490","9490","11030","54","0","0","0","0","21","21","0","5","true","true","false","UNCHANGED_SAFE"
"cuando-prescribe-delito-en-honduras","PUBLISHED","sha256:60988525da86","6555","6555","7313","0","0","0","0","0","10","10","0","2","true","true","false","UNCHANGED_SAFE"
"custodia-hijos-honduras-juez","PUBLISHED","sha256:4be33fee9d83","7451","7430","8199","0","0","0","0","0","12","12","1","2","true","true","false","UNCHANGED_SAFE"
"danos-perjuicios-indemnizacion-honduras","PUBLISHED","sha256:d278f3eb2cfa","7555","7111","7879","0","4","0","0","0","11","11","2","3","true","true","false","SANITIZED_NON_SEMANTIC"
"defensa-penal-honduras","PUBLISHED","sha256:235caf1b2325","5297","5297","6501","0","0","0","0","0","8","8","4","9","true","true","false","UNCHANGED_SAFE"
"defensa-penal-menores-edad-honduras","PUBLISHED","sha256:80322667de1c","5360","5360","5924","0","0","0","0","0","9","9","0","1","true","true","false","UNCHANGED_SAFE"
"defensa-sar-choluteca","PUBLISHED","sha256:031bf3ac73b2","9501","9330","10443","0","0","0","0","0","18","18","5","7","true","true","false","UNCHANGED_SAFE"
"delitos-ambientales-como-denunciarlos-honduras","PUBLISHED","sha256:cf7b1dcf7394","5507","5507","6035","0","0","0","0","0","8","8","0","1","true","true","false","UNCHANGED_SAFE"
"delitos-mas-comunes-honduras","PUBLISHED","sha256:bc2b09050bbf","5516","5342","6591","0","0","0","0","0","19","19","1","4","true","true","false","UNCHANGED_SAFE"
"demanda-laboral-choluteca","PUBLISHED","sha256:cdc19f66d72a","8037","8037","9667","0","0","0","0","0","16","16","7","12","true","true","false","UNCHANGED_SAFE"
"derecho-ambiental-honduras","PUBLISHED","sha256:d7024be5f211","8535","8535","9793","0","0","0","0","0","18","18","1","3","true","true","false","UNCHANGED_SAFE"
"derecho-de-peticion-instituciones-honduras","PUBLISHED","sha256:837eac672aae","7012","7012","7924","0","0","0","0","0","13","13","0","3","true","true","false","UNCHANGED_SAFE"
"derechos-consumidor-financiero-honduras-cnbs","PUBLISHED","sha256:8b0f314f0dcb","6847","6847","7725","0","0","0","0","0","14","14","1","2","true","true","false","UNCHANGED_SAFE"
"derechos-de-autor-proteccion-registro-honduras","PUBLISHED","sha256:af64c5c2cf19","6554","6554","7467","0","0","0","0","0","10","10","0","3","true","true","false","UNCHANGED_SAFE"
"derechos-detenido-honduras-guia-constitucional","PUBLISHED","sha256:3f91757e7b5c","8193","8193","9207","0","0","0","0","0","15","15","2","4","true","true","false","UNCHANGED_SAFE"
"derechos-indigenas-consulta-previa-honduras","PUBLISHED","sha256:77156fca0870","5560","5560","5869","0","0","0","0","0","6","6","1","1","true","true","false","UNCHANGED_SAFE"
"derechos-laborales-basicos-honduras","PUBLISHED","sha256:fd922acbd53f","5263","5263","6424","0","0","0","0","0","8","8","0","4","true","true","false","UNCHANGED_SAFE"
"derechos-trabajadora-embarazada-honduras","PUBLISHED","sha256:002e65b16543","6252","6252","7629","0","0","0","0","0","12","12","0","5","true","true","false","UNCHANGED_SAFE"
"despido-empleados-publicos-honduras","PUBLISHED","sha256:04982b73e6ee","8362","8362","9229","0","0","0","0","0","13","13","0","1","true","true","false","UNCHANGED_SAFE"
"despido-laboral-honduras-guia-completa","PUBLISHED","sha256:0420e76a41f2","7376","7376","8184","46","0","0","0","0","10","10","0","3","true","true","false","UNCHANGED_SAFE"
"devolucion-impuestos-como-solicitarla-honduras","PUBLISHED","sha256:98e7ace1e5ca","6640","6651","7285","0","0","0","0","0","10","10","1","2","true","true","false","UNCHANGED_SAFE"
"diferencia-denuncia-querella-acusacion-honduras","PUBLISHED","sha256:0102707b9d88","6412","6412","7327","0","0","0","0","0","15","15","2","3","true","true","false","UNCHANGED_SAFE"
"divorcio-choluteca","PUBLISHED","sha256:4546d4d3f7ff","6250","6250","7559","0","0","0","0","0","15","15","7","11","true","true","false","UNCHANGED_SAFE"
"divorcio-honduras-guia-completa","PUBLISHED","sha256:3c2dbf4a9c86","6152","6131","6678","86","0","0","0","0","14","14","3","5","true","true","false","UNCHANGED_SAFE"
"ejecucion-hipotecaria-honduras-que-hacer","PUBLISHED","sha256:4813c9f1ff13","4818","4818","5215","0","0","0","0","0","9","9","0","0","true","true","false","UNCHANGED_SAFE"
"errores-contratos-civiles-honduras","PUBLISHED","sha256:63ccb9925235","6675","6675","7931","0","0","0","0","0","18","18","0","2","true","true","false","UNCHANGED_SAFE"
"estafas-fraudes-tipos-penales-honduras","PUBLISHED","sha256:3830925c724c","5558","5558","6136","0","0","0","0","0","11","11","0","1","true","true","false","UNCHANGED_SAFE"
"etapa-investigacion-proceso-penal-honduras","PUBLISHED","sha256:f8c94ac8a0d9","5137","5137","6055","0","0","0","0","0","9","9","0","3","true","true","false","UNCHANGED_SAFE"
"evaluacion-impacto-ambiental-honduras","PUBLISHED","sha256:191d509168a5","6047","6047","6558","0","0","0","0","0","10","10","0","0","true","true","false","UNCHANGED_SAFE"
"expropiacion-forzosa-derechos-propietario-honduras","PUBLISHED","sha256:a151d6467747","4897","4723","5386","0","0","0","0","0","6","6","1","3","true","true","false","UNCHANGED_SAFE"
"facturacion-electronica-requisitos-sar","PUBLISHED","sha256:ed827aa2a56a","5133","5133","5516","0","0","0","0","0","7","7","0","0","true","true","false","UNCHANGED_SAFE"
"fianza-medidas-cautelares-proceso-penal-honduras","PUBLISHED","sha256:cbff62f7b004","6170","6170","7302","0","0","0","0","0","13","13","0","4","true","true","false","UNCHANGED_SAFE"
"guia-aduanera-importaciones-honduras","PUBLISHED","sha256:d2a4ff40d96f","14082","14082","15281","0","0","0","0","0","20","20","7","9","true","true","false","UNCHANGED_SAFE"
"habeas-corpus-cuando-interponer-honduras","PUBLISHED","sha256:e150a6689804","10366","10366","11337","50","0","0","3","0","15","15","0","4","true","true","false","UNCHANGED_SAFE"
"habilitacion-clinicas-hospitales","PUBLISHED","sha256:ec431f7c43b5","5089","5089","5611","0","0","0","0","0","10","10","1","1","true","true","false","UNCHANGED_SAFE"
"herencias-transfronterizas-bienes","PUBLISHED","sha256:b3065e30549f","3436","3436","3772","0","0","0","0","0","6","6","0","0","true","true","false","UNCHANGED_SAFE"
"hondurenos-espana-documentos","PUBLISHED","sha256:a51e050713b3","6047","6047","6938","0","0","0","0","0","15","15","0","1","true","true","false","UNCHANGED_SAFE"
"importaciones-san-lorenzo","PUBLISHED","sha256:c8103187d4f1","6269","6269","7128","0","0","0","0","0","11","11","0","2","true","true","false","UNCHANGED_SAFE"
"importar-china-guia-aduanera","PUBLISHED","sha256:7169de277b58","7277","7277","8045","0","0","0","0","0","14","14","1","1","true","true","false","UNCHANGED_SAFE"
"importar-mercancias-guia-aduanera","PUBLISHED","sha256:03f41c872342","6467","6467","7286","0","0","0","0","0","11","11","1","3","true","true","false","UNCHANGED_SAFE"
"impuesto-renta-personas-fisicas-honduras","PUBLISHED","sha256:d98e61973001","7618","7618","7978","0","0","0","0","0","7","7","0","0","true","true","false","UNCHANGED_SAFE"
"impuestos-pequenas-empresas-guia-basica-honduras","PUBLISHED","sha256:8a6e55f00535","5428","5428","6171","0","0","0","0","0","12","12","0","1","true","true","false","UNCHANGED_SAFE"
"incumplimiento-contrato-comercial-honduras","PUBLISHED","sha256:7e9bafaa77ac","6384","6384","7409","0","0","0","0","0","18","18","0","1","true","true","false","UNCHANGED_SAFE"
"isv-impuesto-venta-tasas-obligaciones-honduras","PUBLISHED","sha256:7dba0b1c7c20","7540","7540","8352","0","0","0","0","0","15","15","0","1","true","true","false","UNCHANGED_SAFE"
"jornada-laboral-horas-extra-descansos-honduras","PUBLISHED","sha256:a51a669450a0","6389","6363","6996","0","0","0","0","0","8","8","1","2","true","true","false","UNCHANGED_SAFE"
"juicio-oral-etapas-que-esperar-honduras","PUBLISHED","sha256:99e8765d53e9","10358","10358","11306","0","0","0","0","0","18","18","4","5","true","true","false","UNCHANGED_SAFE"
"lavado-activos-obligaciones","PUBLISHED","sha256:f429aa4e7cd2","6850","6850","8099","0","0","0","0","0","16","16","0","4","true","true","false","UNCHANGED_SAFE"
"libertad-expresion-redes-sociales-honduras","PUBLISHED","sha256:bd70ac766927","6633","6633","7261","0","0","0","0","0","10","10","0","1","true","true","false","UNCHANGED_SAFE"
"licencia-ambiental-categorias-plazos-honduras","PUBLISHED","sha256:e2853f59583b","6283","6109","6671","0","0","0","0","0","11","11","1","1","true","true","false","UNCHANGED_SAFE"
"mediacion-familiar-cuando-funciona-honduras","PUBLISHED","sha256:bbf819a1912d","6506","6506","7847","0","0","0","0","0","13","13","0","4","true","true","false","UNCHANGED_SAFE"
"mediacion-vs-juicio-cual-elegir","PUBLISHED","sha256:c19041c16fb6","6160","5950","6224","54","0","0","0","0","7","7","1","2","true","true","false","UNCHANGED_SAFE"
"medidas-sustitutivas-prision-preventiva-honduras","PUBLISHED","sha256:e18006b07d29","7153","7153","8702","0","0","0","0","0","13","13","0","5","true","true","false","UNCHANGED_SAFE"
"nacionalidad-espanola-para-hondurenos-residencia-plazos","PUBLISHED","sha256:070ad1686b50","6818","6818","7541","0","0","0","0","0","13","13","0","0","true","true","false","UNCHANGED_SAFE"
"naturalizacion-nacionalidad-hondurena","PUBLISHED","sha256:c51505cbc6f0","6602","6602","7204","0","0","0","0","0","8","8","0","1","true","true","false","UNCHANGED_SAFE"
"patentes-requisitos-proceso-solicitud-honduras","PUBLISHED","sha256:e3da596a6395","7594","7594","8289","0","0","0","0","0","12","12","1","2","true","true","false","UNCHANGED_SAFE"
"pension-alimenticia-choluteca","PUBLISHED","sha256:01e580a195fc","3703","3529","4220","0","0","0","0","0","5","5","1","4","true","true","false","UNCHANGED_SAFE"
"pension-alimenticia-honduras-guia-completa","PUBLISHED","sha256:554b65d2b762","5770","5575","6555","0","0","0","0","0","9","9","3","7","true","true","false","UNCHANGED_SAFE"
"pension-alimenticia-porcentaje-honduras-2026","PUBLISHED","sha256:e0b2fbd4bc37","9343","8868","10058","0","4","0","0","0","18","18","3","4","true","true","false","SANITIZED_NON_SEMANTIC"
"permiso-trabajo-extranjeros-honduras","PUBLISHED","sha256:7c33f7f67c31","6848","6848","7711","0","0","0","0","0","13","13","0","1","true","true","false","UNCHANGED_SAFE"
"pineda-asociados-bufete-multidisciplinario-honduras","PUBLISHED","sha256:4b7c9c10e9b8","7252","7252","8761","0","0","0","0","0","14","14","0","5","true","true","false","UNCHANGED_SAFE"
"poder-desde-espana-para-tramites-honduras","PUBLISHED","sha256:db5ec85e0ae0","7762","7762","8735","0","0","0","0","0","19","19","0","1","true","true","false","UNCHANGED_SAFE"
"poder-legal-honduras-cuando-se-necesita","PUBLISHED","sha256:160edca4e27b","8264","8243","9117","0","0","0","0","0","15","15","2","3","true","true","false","UNCHANGED_SAFE"
"poder-notarial-honduras-tipos-requisitos","PUBLISHED","sha256:4831906635e2","7730","7730","8580","0","0","0","0","0","14","14","0","1","true","true","false","UNCHANGED_SAFE"
"preguntas-frecuentes-antes-contratar-abogado-honduras","PUBLISHED","sha256:895ef95c152d","8263","8263","9558","0","0","0","0","0","17","17","0","3","true","true","false","UNCHANGED_SAFE"
"prescripcion-deudas-plazos-honduras","PUBLISHED","sha256:0938d74f5abd","8681","8216","9319","0","4","0","0","0","12","12","3","6","true","true","false","SANITIZED_NON_SEMANTIC"
"presentar-denuncia-conadeh-honduras","PUBLISHED","sha256:7655c989774d","6393","5466","6212","5","0","0","0","0","16","16","1","1","true","true","false","SANITIZED_NON_SEMANTIC"
"proceso-consulta-legal-pineda","PUBLISHED","sha256:cff41c29688e","5913","5913","6477","0","0","0","0","0","11","11","0","0","true","true","false","UNCHANGED_SAFE"
"proteccion-datos-personales-derechos-arco-honduras","PUBLISHED","sha256:1142d1f750b0","5916","5916","6264","0","0","0","0","0","8","8","0","0","true","true","false","UNCHANGED_SAFE"
"proteccion-marcas-competencia-desleal","PUBLISHED","sha256:1d483684c120","6236","6236","7287","0","0","0","0","0","10","10","0","3","true","true","false","UNCHANGED_SAFE"
"que-hacer-si-me-detienen-en-honduras","PUBLISHED","sha256:078520c370cb","6474","6474","7340","0","0","0","0","0","12","12","0","2","true","true","false","UNCHANGED_SAFE"
"reagrupacion-familiar-hondurenos-espana","PUBLISHED","sha256:8a0940ea8b13","5779","5779","6495","0","0","0","0","0","10","10","0","1","true","true","false","UNCHANGED_SAFE"
"reclamar-deuda-legalmente-honduras","PUBLISHED","sha256:8f4fe78855ae","5787","5787","6383","0","0","0","0","0","11","11","1","1","true","true","false","UNCHANGED_SAFE"
"recurso-de-amparo-honduras-guia-completa","PUBLISHED","sha256:1d7bdda45d02","7767","7767","8424","0","0","0","0","0","12","12","2","2","true","true","false","UNCHANGED_SAFE"
"recursos-sentencia-penal-apelacion-casacion-honduras","PUBLISHED","sha256:288159a71562","4582","4408","4890","0","0","0","0","0","7","7","1","2","true","true","false","UNCHANGED_SAFE"
"reformas-legales-recientes-honduras","PUBLISHED","sha256:60ff872763e8","6890","6716","8026","0","0","0","0","0","13","13","1","6","true","true","false","UNCHANGED_SAFE"
"refugio-asilo-solicitarlo","PUBLISHED","sha256:9390d0f2738c","4818","4818","5419","0","0","0","0","0","11","11","0","0","true","true","false","UNCHANGED_SAFE"
"registrar-marca-honduras-paso-a-paso","PUBLISHED","sha256:755190166963","5774","5774","6035","0","0","0","0","0","5","5","0","0","true","true","false","UNCHANGED_SAFE"
"registro-medicamentos-productos-farmaceuticos-honduras","PUBLISHED","sha256:988408db6297","5123","5123","5570","0","0","0","0","0","8","8","1","1","true","true","false","UNCHANGED_SAFE"
"registro-sanitario-alimentos-arsa-paso-a-paso-honduras","PUBLISHED","sha256:1bc2b55c1cf2","4998","4824","5698","0","0","0","0","0","11","11","2","5","true","true","false","UNCHANGED_SAFE"
"residencia-temporal-requisitos-plazos-honduras","PUBLISHED","sha256:39ec532f7d79","4878","4704","5505","0","0","0","0","0","9","9","1","3","true","true","false","UNCHANGED_SAFE"
"responsabilidad-medica-mala-praxis-honduras","PUBLISHED","sha256:6032e08c08cb","5781","5781","6513","0","0","0","0","0","7","7","0","3","true","true","false","UNCHANGED_SAFE"
"riesgos-profesionales-accidentes","PUBLISHED","sha256:f42af8b7c544","8745","8745","10388","0","0","0","0","0","16","16","0","5","true","true","false","UNCHANGED_SAFE"
"sanciones-administrativas-como-defenderse-honduras","PUBLISHED","sha256:69297044e11e","6880","6880","7534","0","0","0","0","0","10","10","0","1","true","true","false","UNCHANGED_SAFE"
"sar-notifica-fiscalizacion-que-hacer-honduras","PUBLISHED","sha256:3014ffe777d0","5585","5585","6264","0","0","0","0","0","11","11","0","1","true","true","false","UNCHANGED_SAFE"
"servicios-legales-empresas-sur-honduras","PUBLISHED","sha256:169cf040cae5","6786","6786","8159","0","0","0","0","0","17","17","0","5","true","true","false","UNCHANGED_SAFE"
"sobreseimiento-definitivo-provisional","PUBLISHED","sha256:923dd4c9fab5","6211","6211","7004","0","0","0","0","0","15","15","2","3","true","true","false","UNCHANGED_SAFE"
"tarjetas-credito-intereses-cargos-defensa-honduras","PUBLISHED","sha256:4f51b7e0c159","6183","6183","7142","0","0","0","0","0","13","13","0","3","true","true","false","UNCHANGED_SAFE"
"testamentos-sucesiones-herencia-honduras","PUBLISHED","sha256:263e0827683b","5669","5669","6377","0","0","0","0","0","13","13","0","1","true","true","false","UNCHANGED_SAFE"
"tipos-sociedad-mercantil-honduras","PUBLISHED","sha256:020edfd75fc8","6970","6970","7585","0","0","0","0","0","13","13","0","0","true","true","false","UNCHANGED_SAFE"
"titulos-valores-cheques-sin-fondo-honduras","PUBLISHED","sha256:8ca172f36f75","7238","6573","7512","0","0","0","0","0","14","14","0","2","true","true","false","UNCHANGED_SAFE"
"tramites-legales-nacaome","PUBLISHED","sha256:4311324f6aa6","11245","11245","12384","0","0","0","0","0","19","19","5","7","true","true","false","UNCHANGED_SAFE"
"tributar-espana-bienes-guia","PUBLISHED","sha256:114ed581a0be","6563","6563","7154","0","0","0","0","0","11","11","0","0","true","true","false","UNCHANGED_SAFE"
"union-de-hecho-requisitos-derechos-honduras","PUBLISHED","sha256:63dba72fafa9","6745","6017","6348","0","0","0","0","0","6","6","1","1","true","true","false","UNCHANGED_SAFE"
"usucapion-prescripcion-adquisitiva-honduras","PUBLISHED","sha256:a2f2c667b1db","4729","4071","4490","0","0","0","0","0","8","8","0","0","true","true","false","UNCHANGED_SAFE"
"violencia-domestica-ruta-legal-honduras","PUBLISHED","sha256:4d0409ea4349","8362","8362","9907","0","0","0","0","0","14","14","0","5","true","true","false","UNCHANGED_SAFE"
"visas-inversion-rentista-pensionado","PUBLISHED","sha256:31dca718f3fb","5538","5538","6109","0","0","0","0","0","11","11","0","0","true","true","false","UNCHANGED_SAFE"
"zonas-libres-zoli-beneficios-fiscales-honduras","PUBLISHED","sha256:16e1b846e2e5","7675","7501","8214","0","0","0","0","0","14","14","1","1","true","true","false","UNCHANGED_SAFE"
"contratos-arrendamiento-derechos-obligaciones-honduras","PENDING_RESIGNATURE","sha256:c045ac534bc2","4717","4457","4809","0","1","0","0","0","8","8","1","1","true","true","false","SANITIZED_NON_SEMANTIC"
"danos-perjuicios-indemnizacion-honduras","PENDING_RESIGNATURE","sha256:d278f3eb2cfa","8173","7658","8490","0","5","0","0","0","13","13","2","3","true","true","false","SANITIZED_NON_SEMANTIC"
"testamentos-sucesiones-herencia-honduras","PENDING_RESIGNATURE","sha256:263e0827683b","6288","6216","6988","0","1","0","0","0","15","15","0","1","true","true","false","SANITIZED_NON_SEMANTIC"
"herencias-honduras-fallece-familiar","PENDING_RESIGNATURE","sha256:c50434fa451c","8988","8909","9177","60","1","0","0","0","16","16","6","6","true","true","false","SANITIZED_NON_SEMANTIC"
"poder-legal-honduras-cuando-se-necesita","PENDING_RESIGNATURE","sha256:160edca4e27b","8842","8750","9688","0","1","0","0","0","17","17","2","3","true","true","false","SANITIZED_NON_SEMANTIC"
"compraventa-inmuebles-aspectos-legales-honduras","PENDING_RESIGNATURE","sha256:f0a92b563b22","7016","6937","7898","0","1","0","0","0","12","12","0","3","true","true","false","SANITIZED_NON_SEMANTIC"
"prescripcion-deudas-plazos-honduras","PENDING_RESIGNATURE","sha256:0938d74f5abd","9327","8795","9962","0","5","0","0","0","14","14","3","6","true","true","false","SANITIZED_NON_SEMANTIC"
"reclamar-deuda-legalmente-honduras","PENDING_RESIGNATURE","sha256:8f4fe78855ae","6416","6350","7204","0","1","0","0","0","13","13","1","2","true","true","false","SANITIZED_NON_SEMANTIC"
"custodia-hijos-honduras-juez","PENDING_RESIGNATURE","sha256:4be33fee9d83","8074","7993","8826","0","1","0","0","0","14","14","1","2","true","true","false","SANITIZED_NON_SEMANTIC"
"pension-alimenticia-honduras-guia-completa","PENDING_RESIGNATURE","sha256:554b65d2b762","6409","6140","7184","0","1","0","0","0","11","11","3","7","true","true","false","SANITIZED_NON_SEMANTIC"
"pension-alimenticia-porcentaje-honduras-2026","PENDING_RESIGNATURE","sha256:e0b2fbd4bc37","9975","9424","10678","0","5","0","0","0","20","20","3","4","true","true","false","SANITIZED_NON_SEMANTIC"
"divorcio-honduras-guia-completa","PENDING_RESIGNATURE","sha256:3c2dbf4a9c86","6804","6720","7331","86","1","0","0","0","16","16","3","5","true","true","false","SANITIZED_NON_SEMANTIC"
"union-de-hecho-requisitos-derechos-honduras","PENDING_RESIGNATURE","sha256:63dba72fafa9","7387","6584","6979","0","1","0","0","0","8","8","1","1","true","true","false","SANITIZED_NON_SEMANTIC"
"violencia-intrafamiliar-denuncia-proteccion-honduras","PENDING_RESIGNATURE","sha256:af77a8f605ca","3727","3643","4293","0","1","0","0","0","7","7","0","2","true","true","false","SANITIZED_NON_SEMANTIC"
"pension-alimenticia-honduras-como-solicitarla","PENDING_RESIGNATURE","sha256:e24e0b6b000f","5281","5184","5821","0","1","0","0","0","7","7","2","4","true","true","false","SANITIZED_NON_SEMANTIC"
"guarda-custodia-menores-tipos-honduras","PENDING_RESIGNATURE","sha256:eb23a692c9b4","3770","3680","4231","0","1","0","0","0","7","7","0","2","true","true","false","SANITIZED_NON_SEMANTIC"
"despido-laboral-honduras-guia-completa","PENDING_RESIGNATURE","sha256:0420e76a41f2","8032","7962","8834","46","1","0","0","0","12","12","0","3","true","true","false","SANITIZED_NON_SEMANTIC"
"despido-injustificado-honduras-derechos-trabajador","PENDING_RESIGNATURE","sha256:c442bbf1368a","6782","6700","7519","0","1","0","0","0","13","13","0","1","true","true","false","SANITIZED_NON_SEMANTIC"
"calcular-prestaciones-laborales-honduras","PENDING_RESIGNATURE","sha256:8dd6ed3850e0","10448","10291","11900","0","1","0","0","0","14","14","0","5","true","true","false","SANITIZED_NON_SEMANTIC"
