url,page_type,indexable,canonical,action,implementation_status
https://www.pinedayasociadoshn.com/servicios-juridicos/propiedad-intelectual,service,yes,/servicios-juridicos/propiedad-intelectual,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/servicios-juridicos/tributario-fiscal,service,yes,/servicios-juridicos/tributario-fiscal,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/servicios-juridicos/ambiental-regulatorio,service,yes,/servicios-juridicos/ambiental-regulatorio,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/servicios-juridicos/conciliacion-y-arbitraje,service,yes,/servicios-juridicos/conciliacion-y-arbitraje,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/derecho-penal/atencion-casos-penales-litigiosos,subservice,yes,/derecho-penal/atencion-casos-penales-litigiosos,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/derecho-penal/mediacion-conflictos-penales-y-multas,subservice,yes,/derecho-penal/mediacion-conflictos-penales-y-multas,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/derecho-penal/menores-justicia-juvenil,subservice,yes,/derecho-penal/menores-justicia-juvenil,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/derecho-penal/proceso-penal-completo,subservice,yes,/derecho-penal/proceso-penal-completo,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/derecho-penal/recursos-y-defensa-avanzada,subservice,yes,/derecho-penal/recursos-y-defensa-avanzada,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/derecho-penal/estrategia-penal-y-litigio,subservice,yes,/derecho-penal/estrategia-penal-y-litigio,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/derecho-penal/ejecucion-penal-y-beneficios,subservice,yes,/derecho-penal/ejecucion-penal-y-beneficios,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/hondurenos-en-espana/gestion-documental-y-legalizacion,subservice,yes,/hondurenos-en-espana/gestion-documental-y-legalizacion,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/hondurenos-en-espana/actos-notariales-internacionales,subservice,yes,/hondurenos-en-espana/actos-notariales-internacionales,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/hondurenos-en-espana/asuntos-civiles-y-familiares-desde-el-extranjero,subservice,yes,/hondurenos-en-espana/asuntos-civiles-y-familiares-desde-el-extranjero,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-penal,blog_category,yes,/blog/derecho-penal,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/proceso-penal,blog_category,yes,/blog/proceso-penal,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-de-familia,blog_category,yes,/blog/derecho-de-familia,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-laboral,blog_category,yes,/blog/derecho-laboral,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-civil,blog_category,yes,/blog/derecho-civil,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-mercantil,blog_category,yes,/blog/derecho-mercantil,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/extranjeria-migracion,blog_category,yes,/blog/extranjeria-migracion,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana,blog_category,yes,/blog/hondurenos-en-espana,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-notarial,blog_category,yes,/blog/derecho-notarial,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/tributario,blog_category,yes,/blog/tributario,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/noticias-legales,blog_category,yes,/blog/noticias-legales,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/practica-legal,blog_category,yes,/blog/practica-legal,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos,blog_category,yes,/blog/derechos-ciudadanos,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-bancario,blog_category,yes,/blog/derecho-bancario,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-administrativo,blog_category,yes,/blog/derecho-administrativo,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-aduanero,blog_category,yes,/blog/derecho-aduanero,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria,blog_category,yes,/blog/regulacion-sanitaria,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/propiedad-intelectual,blog_category,yes,/blog/propiedad-intelectual,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/derecho-ambiental,blog_category,yes,/blog/derecho-ambiental,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje,blog_category,yes,/blog/conciliacion-arbitraje,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/equipo/danilo-pineda-maradiaga,profile,yes,/equipo/danilo-pineda-maradiaga,CREATE,NOT_STARTED
https://www.pinedayasociadoshn.com/equipo/thania-marlene-paz,profile,yes,/equipo/thania-marlene-paz,CREATE,NOT_STARTED
https://www.pinedayasociadoshn.com/equipo/emil-barahona,profile,yes,/equipo/emil-barahona,CREATE,NOT_STARTED
https://www.pinedayasociadoshn.com/preguntas-frecuentes,faq,yes,/preguntas-frecuentes,KEEP,PARTIAL
https://www.pinedayasociadoshn.com/blog/{cat}/{slug},blog_post,conditional,/blog/{cat}/{slug},KEEP_NOINDEX_IF_NOT_VERIFIED,BLOCKED_HUMAN_REVIEW
