"url","surface","page","total_pages","has_tag","has_month","http_status","redirect_location","indexable","canonical","og_url","schema_url","prev_url","next_url","title","description","content_signature","in_sitemap","issue","recommended_action","final_status"
"/blog?page=11","hub","11","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=11","https://www.pinedayasociadoshn.com/blog?page=11","https://www.pinedayasociadoshn.com/blog?page=11","https://www.pinedayasociadoshn.com/blog?page=10","","Blog Jurídico — Página 11","Artículos jurídicos. Página 11.","743082e356de45a3d01f76364b75bff08f5d4bb501d3c4d20c819e5aa3ed5809","false","NONE","NONE","PASS"
"/blog/derecho-penal","derecho-penal","1","2","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-penal","https://www.pinedayasociadoshn.com/blog/derecho-penal","https://www.pinedayasociadoshn.com/blog/derecho-penal","","https://www.pinedayasociadoshn.com/blog/derecho-penal?page=2","derecho-penal","Artículos de derecho-penal.","f4f5c7dc2db43988cc87d07511702ea39d313a59be2fdb07ed7b6d96775d43ee","true","NONE","NONE","PASS"
"/blog/derecho-penal?page=2","derecho-penal","2","2","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-penal?page=2","https://www.pinedayasociadoshn.com/blog/derecho-penal?page=2","https://www.pinedayasociadoshn.com/blog/derecho-penal?page=2","https://www.pinedayasociadoshn.com/blog/derecho-penal","","derecho-penal — Página 2","Artículos de derecho-penal. Página 2.","1ad247e23ceab033fdc18385b7ac2bb349c278e0ffa9a252115aa49bf1cb6657","false","NONE","NONE","PASS"
"/blog/proceso-penal","proceso-penal","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/proceso-penal","https://www.pinedayasociadoshn.com/blog/proceso-penal","https://www.pinedayasociadoshn.com/blog/proceso-penal","","","proceso-penal","Artículos de proceso-penal.","dfb50bc7b8ca6e6f3c8590ad928e9209ff37a7518ee7dc0098b58d30a03b66cf","true","NONE","NONE","PASS"
"/blog/derecho-de-familia","derecho-de-familia","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-de-familia","https://www.pinedayasociadoshn.com/blog/derecho-de-familia","https://www.pinedayasociadoshn.com/blog/derecho-de-familia","","","derecho-de-familia","Artículos de derecho-de-familia.","0a119a2672da07fba74e0c2cef931ab2d5aaba6c75c2749c0c44a2c46319cd4e","true","NONE","NONE","PASS"
"/blog/derecho-laboral","derecho-laboral","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-laboral","https://www.pinedayasociadoshn.com/blog/derecho-laboral","https://www.pinedayasociadoshn.com/blog/derecho-laboral","","","derecho-laboral","Artículos de derecho-laboral.","4f3dd398b1d6eaf36920d41a404ab741566822e223d296bcdaf2622b37fa091d","true","NONE","NONE","PASS"
"/blog/derecho-civil","derecho-civil","1","2","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-civil","https://www.pinedayasociadoshn.com/blog/derecho-civil","https://www.pinedayasociadoshn.com/blog/derecho-civil","","https://www.pinedayasociadoshn.com/blog/derecho-civil?page=2","derecho-civil","Artículos de derecho-civil.","b027eb28a5be4997b3b982a8eb46c257325cccf5a51c27581348e2f9df452019","true","NONE","NONE","PASS"
"/blog/derecho-civil?page=2","derecho-civil","2","2","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-civil?page=2","https://www.pinedayasociadoshn.com/blog/derecho-civil?page=2","https://www.pinedayasociadoshn.com/blog/derecho-civil?page=2","https://www.pinedayasociadoshn.com/blog/derecho-civil","","derecho-civil — Página 2","Artículos de derecho-civil. Página 2.","23383dcd62aace6f61ec23c1f6d63ab370958439aa1aea3976f0ef2d355fd16c","false","NONE","NONE","PASS"
"/blog/derecho-mercantil","derecho-mercantil","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-mercantil","https://www.pinedayasociadoshn.com/blog/derecho-mercantil","https://www.pinedayasociadoshn.com/blog/derecho-mercantil","","","derecho-mercantil","Artículos de derecho-mercantil.","a28ee466aea915fe73c92a298f276117b7bdb500668c059262a9bdc7b899520f","true","NONE","NONE","PASS"
"/blog/extranjeria-migracion","extranjeria-migracion","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion","","","extranjeria-migracion","Artículos de extranjeria-migracion.","aead5301be39c218a7a6adbfe0b624bafd5574f2fe6e9ece132e9cdb284092c3","true","NONE","NONE","PASS"
"/blog/hondurenos-en-espana","hondurenos-en-espana","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana","","","hondurenos-en-espana","Artículos de hondurenos-en-espana.","3e33a3ecf02ba9158d0afe260d3ade492263cc01eea311b26a3a9484a2093049","true","NONE","NONE","PASS"
"/blog/derecho-notarial","derecho-notarial","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-notarial","https://www.pinedayasociadoshn.com/blog/derecho-notarial","https://www.pinedayasociadoshn.com/blog/derecho-notarial","","","derecho-notarial","Artículos de derecho-notarial.","a1cc97b12614dc94ec629affd0f7766bba833f45fe8e47a819a03e78a493283a","true","NONE","NONE","PASS"
"/blog/tributario","tributario","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/tributario","https://www.pinedayasociadoshn.com/blog/tributario","https://www.pinedayasociadoshn.com/blog/tributario","","","tributario","Artículos de tributario.","2bb4dd00b54b84d8874637a874986c841b23b0b875087663d656639a32d54ef8","true","NONE","NONE","PASS"
"/blog/noticias-legales","noticias-legales","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/noticias-legales","https://www.pinedayasociadoshn.com/blog/noticias-legales","https://www.pinedayasociadoshn.com/blog/noticias-legales","","","noticias-legales","Artículos de noticias-legales.","fb6c945f42661221e965a473b2f5f60715b8f5e0d488c7ab321db8bb3ec92180","true","NONE","NONE","PASS"
"/blog/practica-legal","practica-legal","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/practica-legal","https://www.pinedayasociadoshn.com/blog/practica-legal","https://www.pinedayasociadoshn.com/blog/practica-legal","","","practica-legal","Artículos de practica-legal.","e43fe5eec0342463fd27d8c0840f9e6126a8cb424a01c8b735aadb4fbdf638f5","true","NONE","NONE","PASS"
"/blog/derechos-ciudadanos","derechos-ciudadanos","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos","","","derechos-ciudadanos","Artículos de derechos-ciudadanos.","c7efca509cebec9492031d734177ec782c693a1695e981d43f37c52060941d3e","true","NONE","NONE","PASS"
"/blog/derecho-bancario","derecho-bancario","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-bancario","https://www.pinedayasociadoshn.com/blog/derecho-bancario","https://www.pinedayasociadoshn.com/blog/derecho-bancario","","","derecho-bancario","Artículos de derecho-bancario.","f700b7ebfefc9b3e72a2752083f1638c8fee7a6e520fb9db26273ed48cfcc118","true","NONE","NONE","PASS"
"/blog/derecho-administrativo","derecho-administrativo","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-administrativo","https://www.pinedayasociadoshn.com/blog/derecho-administrativo","https://www.pinedayasociadoshn.com/blog/derecho-administrativo","","","derecho-administrativo","Artículos de derecho-administrativo.","323b6878e8c3789d58f27cc7395bf375292079b5c366adf50e7a6378783b7c72","true","NONE","NONE","PASS"
"/blog/derecho-aduanero","derecho-aduanero","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-aduanero","https://www.pinedayasociadoshn.com/blog/derecho-aduanero","https://www.pinedayasociadoshn.com/blog/derecho-aduanero","","","derecho-aduanero","Artículos de derecho-aduanero.","ccf43340c8bb52f0309ae700f5d584c3d1cbac9d12fdab4b192c86916620b984","true","NONE","NONE","PASS"
"/blog/regulacion-sanitaria","regulacion-sanitaria","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria","","","regulacion-sanitaria","Artículos de regulacion-sanitaria.","d7bfa63007d4c4799ca34bebb93007768f63640b179cda04ed8fb36dd7908e4e","true","NONE","NONE","PASS"
"/blog/propiedad-intelectual","propiedad-intelectual","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual","","","propiedad-intelectual","Artículos de propiedad-intelectual.","12c0d2bcd39a1988ccd3a062d45c1b35b2df952e856eeb47e92e4887027dc131","true","NONE","NONE","PASS"
"/blog/derecho-ambiental","derecho-ambiental","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/derecho-ambiental","https://www.pinedayasociadoshn.com/blog/derecho-ambiental","https://www.pinedayasociadoshn.com/blog/derecho-ambiental","","","derecho-ambiental","Artículos de derecho-ambiental.","efd2b0ed82856e8114aaea466319b6a40991cff9a70864075e4ff3d754aab2bd","true","NONE","NONE","PASS"
"/blog/conciliacion-arbitraje","conciliacion-arbitraje","1","1","false","false","200","","true","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje","","","conciliacion-arbitraje","Artículos de conciliacion-arbitraje.","1c97ac2c742958577f7ff3837f1318e09cae7f5a7dc067bbfe990c5599f7eff6","true","NONE","NONE","PASS"
"/blog?tag=ARSA","filter:tag","1","1","true","false","200","","false","https://www.pinedayasociadoshn.com/blog?tag=ARSA","https://www.pinedayasociadoshn.com/blog?tag=ARSA","","","","filter:tag","Artículos de filter:tag.","baa29452ff09c92b49e37d9a35dfc0c0ca5cea8293b9c4c763be8a02f2382d79","false","NONE","NONE","PASS"
"/blog?month=2026-06","filter:month","1","1","false","true","200","","false","https://www.pinedayasociadoshn.com/blog?month=2026-06","https://www.pinedayasociadoshn.com/blog?month=2026-06","","","","filter:month","Artículos de filter:month.","713f80dc19a2d2c2b394ba1bd1b80c20bd01a4ff26d2a992726196d8cc5c3a07","false","NONE","NONE","PASS"
"/blog?tag=ARSA&month=2026-06","filter:tag+month","1","1","true","true","200","","false","https://www.pinedayasociadoshn.com/blog?tag=ARSA&month=2026-06","https://www.pinedayasociadoshn.com/blog?tag=ARSA&month=2026-06","","","","filter:tag+month","Artículos de filter:tag+month.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","false","NONE","NONE","PASS"
