"dataset","url","slug","category","title","published","legal_review_status","wordCount","clicks","impressions","position","ctr","action","priority","reason","cannibalizationCluster"
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-proteger-negocio","contratos-mercantiles-proteger-negocio","derecho-mercantil","Contratos mercantiles: claves para proteger tu negocio","false","lawyer_review_pending","794","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-civiles-honduras-errores-comunes","contratos-civiles-honduras-errores-comunes","derecho-civil","Contratos civiles en Honduras: errores comunes antes de firmar","false","lawyer_review_pending","683","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras","titulos-valores-cheques-sin-fondo-honduras","derecho-mercantil","Cheques sin Fondo en Honduras: Protesto Notarial","true","lawyer_review_pending","1025","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena","naturalizacion-nacionalidad-hondurena","extranjeria-migracion","Naturalización en Honduras: Guía para Obtener","true","lawyer_review_pending","817","8","853","8.9","0.94","UPDATE","P1","Impresiones altas, posición 8.9, CTR bajo (0.9%)","honduras nacionalidad | nacionalidad de honduras | nacionalidad hondureña"
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","licencia-ambiental-categorias-plazos-honduras","derecho-ambiental","Licencia Ambiental en Honduras","true","lawyer_review_pending","766","6","367","9.6","1.63","UPDATE","P1","Impresiones altas, posición 9.6, CTR bajo (1.6%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-bancario/creditos-reestructuracion-deudas","creditos-reestructuracion-deudas","derecho-bancario","Reestructuración de Deuda en Honduras","true","lawyer_review_pending","1331","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/constitucion-empresas-honduras-pasos-legales","constitucion-empresas-honduras-pasos-legales","derecho-mercantil","Constitución de empresas en Honduras: pasos legales básicos","false","lawyer_review_pending","875","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-bancario/central-riesgos-consultar-impugnar-honduras","central-riesgos-consultar-impugnar-honduras","derecho-bancario","Central de Riesgos en Honduras: Cómo Consultarla, Impugnar y Salir","false","lawyer_review_pending","831","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/tributario/defensa-sar-choluteca","defensa-sar-choluteca","tributario","Defensa ante el SAR en Choluteca","true","lawyer_review_pending","1231","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/centro-conciliacion-arbitraje-ccic","centro-conciliacion-arbitraje-ccic","conciliacion-arbitraje","Conciliación y arbitraje en el CCIC de Honduras","true","lawyer_review_pending","651","0","24","0.0","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/codigo-aduanero-centroamericano","codigo-aduanero-centroamericano","derecho-aduanero","CAUCA en Honduras: Código Aduanero","true","lawyer_review_pending","576","2","64","7.4","3.13","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras","expropiacion-forzosa-derechos-propietario-honduras","derecho-administrativo","Expropiación Forzosa en Honduras","true","lawyer_review_pending","645","11","271","8.3","4.06","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/contratacion-publica-licitaciones","contratacion-publica-licitaciones","derecho-administrativo","Contratación Pública en Honduras","true","lawyer_review_pending","813","2","114","10.0","1.75","UPDATE","P1","Impresiones altas, posición 10.0, CTR bajo (1.8%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/abogado-civil-choluteca","abogado-civil-choluteca","derecho-civil","Abogado Civil en Choluteca","true","lawyer_review_pending","607","0","17","0.0","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-choluteca","pension-alimenticia-choluteca","derecho-de-familia","Pensión Alimenticia en Choluteca","true","lawyer_review_pending","491","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/residencia-temporal-requisitos-plazos-honduras","residencia-temporal-requisitos-plazos-honduras","extranjeria-migracion","Residencia Temporal en Honduras","true","lawyer_review_pending","581","1","280","21.0","0.36","UPDATE","P2","Posición baja (21.0) con impresiones",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-vs-juicio-cual-elegir","mediacion-vs-juicio-cual-elegir","conciliacion-arbitraje","Mediación vs juicio en Honduras","true","lawyer_review_pending","703","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-prescribe-delito-en-honduras","cuando-prescribe-delito-en-honduras","derecho-penal","¿Cuándo Prescribe un Delito en Honduras? Plazos","true","lawyer_review_pending","1021","7","504","4.4","1.39","UPDATE","P1","Impresiones altas, posición 4.4, CTR bajo (1.4%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/proceso-penal/sobreseimiento-definitivo-provisional","sobreseimiento-definitivo-provisional","proceso-penal","Sobreseimiento definitivo y provisional en Honduras","true","lawyer_review_pending","846","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/guarda-custodia-menores-tipos-honduras","guarda-custodia-menores-tipos-honduras","derecho-de-familia","Guarda y Custodia de Menores en Honduras: Tipos y Qué...","false","lawyer_review_pending","468","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras","proteccion-datos-personales-derechos-arco-honduras","derechos-ciudadanos","Derechos ARCO en Honduras: Guía Completa de","true","lawyer_review_pending","837","4","56","6.0","7.14","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/derechos-de-autor-proteccion-registro-honduras","derechos-de-autor-proteccion-registro-honduras","propiedad-intelectual","Derechos de Autor en Honduras: Protección y Registro de Obras","true","lawyer_review_pending","882","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-bancario/ejecucion-hipotecaria-honduras-que-hacer","ejecucion-hipotecaria-honduras-que-hacer","derecho-bancario","Ejecución hipotecaria en Honduras: qué hacer","true","lawyer_review_pending","695","5","77","3.3","6.49","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","pension-alimenticia-porcentaje-honduras-2026","derecho-de-familia","Pensión Alimenticia en Honduras 2026: Proporcionalidad y Cálculo","true","lawyer_review_pending","1184","104","2399","4.2","4.34","MERGE","P2","Posible canibalización: cuanto es la pensión alimenticia por hijo en honduras | cuanto es la manutencion de un hijo en honduras | porcentaje de pensión alimenticia por 2 hijos en honduras","cuanto es la pensión alimenticia por hijo en honduras | cuanto es la manutencion de un hijo en honduras | porcentaje de pensión alimenticia por 2 hijos en honduras"
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/abogado-familia-choluteca","abogado-familia-choluteca","derecho-de-familia","Abogado de Familia en Choluteca","true","lawyer_review_pending","979","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-familiar-cuando-funciona-honduras","mediacion-familiar-cuando-funciona-honduras","conciliacion-arbitraje","Mediación Familiar en Honduras","true","lawyer_review_pending","930","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/tributario/impuestos-pequenas-empresas-guia-basica-honduras","impuestos-pequenas-empresas-guia-basica-honduras","tributario","Impuestos para Pequeñas Empresas en Honduras","true","lawyer_review_pending","779","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-calcular-reclamar-honduras","pension-alimenticia-calcular-reclamar-honduras","derecho-de-familia","Pensión alimenticia en Honduras: cómo calcularla y reclamarla","false","lawyer_review_pending","872","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/incumplimiento-contrato-comercial-honduras","incumplimiento-contrato-comercial-honduras","derecho-mercantil","Incumplimiento de contrato en Honduras","true","lawyer_review_pending","818","0","26","0.0","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/proteccion-marcas-competencia-desleal","proteccion-marcas-competencia-desleal","propiedad-intelectual","Protección de Marcas Frente a la Competencia","true","lawyer_review_pending","829","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/tributario/impuesto-renta-guia-personas-fisicas-honduras","impuesto-renta-guia-personas-fisicas-honduras","tributario","Impuesto Sobre la Renta en Honduras: Guía Completa para...","false","lawyer_review_pending","822","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/testamentos-sucesiones-herencia-honduras","testamentos-sucesiones-herencia-honduras","derecho-civil","Herencias en Honduras: Guía Paso a Paso de","true","lawyer_review_pending","793","4","139","4.3","2.88","UPDATE","P1","Impresiones altas, posición 4.3, CTR bajo (2.9%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-penal/derechos-detenido-honduras-guia-constitucional","derechos-detenido-honduras-guia-constitucional","derecho-penal","Derechos del detenido en Honduras: explicación práctica","true","lawyer_review_pending","1213","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/refugio-asilo-solicitarlo","refugio-asilo-solicitarlo","extranjeria-migracion","Refugio y Asilo en Honduras: Proceso y Requisitos para Solicitarlo","true","lawyer_review_pending","640","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-derechos","despido-laboral-honduras-derechos","derecho-laboral","Despido laboral en Honduras: derechos y cómo","false","lawyer_review_pending","1098","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-notarial-honduras-tipos-requisitos","poder-notarial-honduras-tipos-requisitos","derecho-notarial","4 Tipos de Poder Notarial en Honduras: Requisitos","true","lawyer_review_pending","1087","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-marcos-de-colon-choluteca","abogados-en-san-marcos-de-colon-choluteca","practica-legal","Abogados en San Marcos de Colón, Honduras","false","lawyer_review_pending","1110","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-lorenzo","abogados-en-san-lorenzo","practica-legal","Abogados en San Lorenzo, Valle","false","lawyer_review_pending","716","0","31","6.0","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/reclamar-deuda-legalmente-honduras","reclamar-deuda-legalmente-honduras","derecho-civil","Cómo reclamar una deuda legalmente en Honduras","true","lawyer_review_pending","787","13","667","8.0","1.95","UPDATE","P1","Impresiones altas, posición 8.0, CTR bajo (1.9%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/practica-legal/como-elegir-abogado-honduras","como-elegir-abogado-honduras","practica-legal","Cómo Elegir un Buen Abogado en Honduras","true","lawyer_review_pending","1253","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/tributario/isv-impuesto-venta-tasas-obligaciones-honduras","isv-impuesto-venta-tasas-obligaciones-honduras","tributario","ISV en Honduras: tasas, obligaciones y cómo","true","lawyer_review_pending","1054","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras","evaluacion-impacto-ambiental-honduras","derecho-ambiental","Evaluación de Impacto Ambiental en Honduras","true","lawyer_review_pending","783","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-penal/diferencia-denuncia-querella-acusacion-honduras","diferencia-denuncia-querella-acusacion-honduras","derecho-penal","Denuncia vs querella y acusación en Honduras","true","lawyer_review_pending","894","9","332","6.9","2.71","UPDATE","P1","Impresiones altas, posición 6.9, CTR bajo (2.7%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-trabajo-tipos-clausulas-honduras","contratos-trabajo-tipos-clausulas-honduras","derecho-laboral","Contratos de Trabajo en Honduras","true","lawyer_review_pending","883","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras","habeas-corpus-cuando-interponer-honduras","proceso-penal","Hábeas Corpus en Honduras: Cómo Interponerlo y Cuándo Procede","true","lawyer_review_pending","1420","10","447","10.9","2.24","UPDATE","P1","Impresiones altas, posición 10.9, CTR bajo (2.2%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/importaciones-san-lorenzo","importaciones-san-lorenzo","derecho-aduanero","Importaciones en San Lorenzo","true","lawyer_review_pending","776","1","48","7.0","2.08","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/evaluacion-impacto-ambiental-paso-a-paso-honduras","evaluacion-impacto-ambiental-paso-a-paso-honduras","derecho-ambiental","Evaluación de impacto ambiental en Honduras: paso a paso","false","lawyer_review_pending","553","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras","cuando-necesito-abogado-penalista-honduras","derecho-penal","¿Cuándo necesito un abogado penalista en","true","lawyer_review_pending","1159","0","48","11.0","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-pespire-choluteca","abogados-en-pespire-choluteca","practica-legal","Abogados en Pespire, Honduras: Asesoría Legal en","false","lawyer_review_pending","779","1","28","0.0","3.57","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/clausulas-abusivas-contratos-como-detectar-honduras","clausulas-abusivas-contratos-como-detectar-honduras","derecho-civil","Cláusulas abusivas en Honduras","true","lawyer_review_pending","861","2","45","4.0","4.44","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-penal/abogado-penalista-sur-honduras","abogado-penalista-sur-honduras","derecho-penal","Abogado Penalista en el Sur de Honduras","true","lawyer_review_pending","831","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/importar-mercancias-guia-aduanera","importar-mercancias-guia-aduanera","derecho-aduanero","Guía completa para importar a Honduras","true","lawyer_review_pending","838","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/arbitraje-honduras-guia-completa","arbitraje-honduras-guia-completa","conciliacion-arbitraje","Arbitraje en Honduras: ¿Cuándo Conviene? Todo lo","true","lawyer_review_pending","628","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-franquicia-aspectos","contratos-franquicia-aspectos","derecho-mercantil","Contratos de Franquicia en Honduras: Guia Legal","true","lawyer_review_pending","964","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-arrendamiento-derechos-obligaciones-honduras","contratos-arrendamiento-derechos-obligaciones-honduras","derecho-civil","Contratos de Arrendamiento en Honduras","true","lawyer_review_pending","523","3","334","8.0","0.90","UPDATE","P1","Impresiones altas, posición 8.0, CTR bajo (0.9%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-laboral/riesgos-profesionales-accidentes","riesgos-profesionales-accidentes","derecho-laboral","Accidentes Laborales en Honduras: Cobertura Legal","true","lawyer_review_pending","1191","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/abogado-empresas-san-lorenzo","abogado-empresas-san-lorenzo","derecho-mercantil","Abogado Empresarial en San Lorenzo","true","lawyer_review_pending","758","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-bancario/derechos-consumidor-financiero-honduras-cnbs","derechos-consumidor-financiero-honduras-cnbs","derecho-bancario","Derechos del consumidor financiero en Honduras","true","lawyer_review_pending","933","0","27","0.0","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/cobro-deudas-choluteca","cobro-deudas-choluteca","derecho-civil","Cobro Judicial de Deudas en Choluteca","true","lawyer_review_pending","1039","0","27","8.5","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/problemas-legales-familiares-honduras","problemas-legales-familiares-honduras","derecho-de-familia","Problemas legales familiares en Honduras: guía práctica...","false","lawyer_review_pending","986","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/tributario/facturacion-electronica-requisitos-sar","facturacion-electronica-requisitos-sar","tributario","Facturación Electrónica en Honduras","true","lawyer_review_pending","659","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/adopcion-requisitos-proceso-honduras","adopcion-requisitos-proceso-honduras","derecho-de-familia","Adopción en Honduras: Requisitos y Proceso","true","lawyer_review_pending","794","0","5","0.0","0.00","KEEP","P4","Demanda incipiente",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-civil/herencias-honduras-fallece-familiar","herencias-honduras-fallece-familiar","derecho-civil","Herencias en Honduras: ¿qué hacer cuando fallece un...","false","lawyer_review_pending","999","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/reagrupacion-familiar-hondurenos-espana","reagrupacion-familiar-hondurenos-espana","hondurenos-en-espana","Reagrupación familiar en España para hondureños","true","lawyer_review_pending","797","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-penal/allanamiento-ilegal-violacion-domicilio-honduras","allanamiento-ilegal-violacion-domicilio-honduras","derecho-penal","Allanamiento Ilegal en Honduras - ¿Qué Hacer?","true","lawyer_review_pending","870","1","49","0.0","2.04","KEEP","P3","Demanda moderada o tráfico estable",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/delitos-ambientales-como-denunciarlos-honduras","delitos-ambientales-como-denunciarlos-honduras","derecho-ambiental","Delitos ambientales en Honduras","true","lawyer_review_pending","763","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-penal/violencia-domestica-ruta-legal-honduras","violencia-domestica-ruta-legal-honduras","derecho-penal","Violencia Doméstica en Honduras: Cómo Denunciar","true","lawyer_review_pending","1139","0","2","46.0","0.00","KEEP","P4","Demanda incipiente",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-tipos-requisitos-tiempos-honduras","divorcio-tipos-requisitos-tiempos-honduras","derecho-de-familia","Tipos de Divorcio en Honduras: Comparativa de Plazos,...","false","lawyer_review_pending","708","0","0","0.0","0.00","NOINDEX","P4","No publicado",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-bancario/central-riesgos-honduras-consultar-impugnar","central-riesgos-honduras-consultar-impugnar","derecho-bancario","Central de Riesgos en Honduras","true","lawyer_review_pending","755","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/practica-legal/costos-honorarios-abogados-como-funcionan-honduras","costos-honorarios-abogados-como-funcionan-honduras","practica-legal","Honorarios de Abogados en Honduras","true","lawyer_review_pending","974","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/proceso-penal/recursos-sentencia-penal-apelacion-casacion-honduras","recursos-sentencia-penal-apelacion-casacion-honduras","proceso-penal","Recursos contra sentencia penal en Honduras","true","lawyer_review_pending","588","12","337","3.2","3.56","EXPAND","P2","Buen posicionamiento (3.2) con contenido escaso (588 palabras)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-laboral/acoso-laboral-mobbing-honduras","acoso-laboral-mobbing-honduras","derecho-laboral","Acoso Laboral en Honduras: Cómo Identificarlo y Denunciarlo Legalmente","true","lawyer_review_pending","891","0","6","0.0","0.00","KEEP","P4","Demanda incipiente",""
