"priority","article","area","current_signature","current_review_origin","proposed_signature_type","proposed_signer","content_changed","new_claims","legal_risk","review_packet","signature_status"
"P2","contratos-mercantiles-proteger-negocio","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","contratos-civiles-honduras-errores-comunes","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","titulos-valores-cheques-sin-fondo-honduras","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P3","naturalizacion-nacionalidad-hondurena","extranjeria-migracion","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","licencia-ambiental-categorias-plazos-honduras","derecho-ambiental","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","creditos-reestructuracion-deudas","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","constitucion-empresas-honduras-pasos-legales","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P3","central-riesgos-consultar-impugnar-honduras","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","defensa-sar-choluteca","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","centro-conciliacion-arbitraje-ccic","conciliacion-arbitraje","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","codigo-aduanero-centroamericano","derecho-aduanero","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","expropiacion-forzosa-derechos-propietario-honduras","derecho-administrativo","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","contratacion-publica-licitaciones","derecho-administrativo","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","abogado-civil-choluteca","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","pension-alimenticia-choluteca","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","residencia-temporal-requisitos-plazos-honduras","extranjeria-migracion","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","mediacion-vs-juicio-cual-elegir","conciliacion-arbitraje","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","cuando-prescribe-delito-en-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P3","sobreseimiento-definitivo-provisional","proceso-penal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","guarda-custodia-menores-tipos-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P3","proteccion-datos-personales-derechos-arco-honduras","derechos-ciudadanos","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","derechos-de-autor-proteccion-registro-honduras","propiedad-intelectual","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","ejecucion-hipotecaria-honduras-que-hacer","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","pension-alimenticia-porcentaje-honduras-2026","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P2","abogado-familia-choluteca","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","mediacion-familiar-cuando-funciona-honduras","conciliacion-arbitraje","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","impuestos-pequenas-empresas-guia-basica-honduras","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","pension-alimenticia-calcular-reclamar-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","incumplimiento-contrato-comercial-honduras","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P2","proteccion-marcas-competencia-desleal","propiedad-intelectual","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","impuesto-renta-guia-personas-fisicas-honduras","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","testamentos-sucesiones-herencia-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P1","derechos-detenido-honduras-guia-constitucional","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P3","refugio-asilo-solicitarlo","extranjeria-migracion","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","despido-laboral-honduras-derechos","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","poder-notarial-honduras-tipos-requisitos","derecho-notarial","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","abogados-en-san-marcos-de-colon-choluteca","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","abogados-en-san-lorenzo","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","reclamar-deuda-legalmente-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P3","como-elegir-abogado-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","isv-impuesto-venta-tasas-obligaciones-honduras","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","evaluacion-impacto-ambiental-honduras","derecho-ambiental","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","diferencia-denuncia-querella-acusacion-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P2","contratos-trabajo-tipos-clausulas-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","habeas-corpus-cuando-interponer-honduras","proceso-penal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","importaciones-san-lorenzo","derecho-aduanero","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","evaluacion-impacto-ambiental-paso-a-paso-honduras","derecho-ambiental","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","cuando-necesito-abogado-penalista-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","abogados-en-pespire-choluteca","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","clausulas-abusivas-contratos-como-detectar-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","abogado-penalista-sur-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","importar-mercancias-guia-aduanera","derecho-aduanero","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","arbitraje-honduras-guia-completa","conciliacion-arbitraje","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","contratos-franquicia-aspectos","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P1","contratos-arrendamiento-derechos-obligaciones-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P2","riesgos-profesionales-accidentes","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","abogado-empresas-san-lorenzo","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","derechos-consumidor-financiero-honduras-cnbs","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","cobro-deudas-choluteca","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","problemas-legales-familiares-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","facturacion-electronica-requisitos-sar","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","adopcion-requisitos-proceso-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","herencias-honduras-fallece-familiar","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P2","reagrupacion-familiar-hondurenos-espana","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","allanamiento-ilegal-violacion-domicilio-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P3","delitos-ambientales-como-denunciarlos-honduras","derecho-ambiental","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","violencia-domestica-ruta-legal-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P2","divorcio-tipos-requisitos-tiempos-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","central-riesgos-honduras-consultar-impugnar","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","costos-honorarios-abogados-como-funcionan-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","recursos-sentencia-penal-apelacion-casacion-honduras","proceso-penal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","acoso-laboral-mobbing-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P3","derecho-ambiental-honduras","derecho-ambiental","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","custodia-hijos-honduras-juez","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P1","pension-alimenticia-honduras-como-solicitarla","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P3","arbitraje-cuando-conviene-como-funciona-honduras","conciliacion-arbitraje","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","jornada-laboral-horas-extra-descansos-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/laboral/batch-01.md","PENDING_RESIGNATURE"
"P1","prescripcion-deudas-plazos-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P3","impuesto-renta-personas-fisicas-honduras","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","delitos-mas-comunes-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","juicio-oral-etapas-que-esperar-honduras","proceso-penal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","elegir-tipo-sociedad-empresa-honduras","derecho-mercantil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/mercantil/batch-01.md","PENDING_RESIGNATURE"
"P3","presentar-denuncia-conadeh-honduras","derechos-ciudadanos","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","divorcio-express-mutuo-acuerdo-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","elegir-bufete-abogados-nacaome","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","abogado-aduanero-san-lorenzo","derecho-aduanero","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","audiencia-inicial-proceso-penal-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P3","ejecucion-hipotecaria-que-hacer-honduras","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","despido-empleados-publicos-procedencia-defensa-honduras","derecho-administrativo","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","derechos-del-detenido-guia-constitucional-honduras","derechos-ciudadanos","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","derechos-consumidor-financiero-cnbs-honduras","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","union-de-hecho-requisitos-derechos-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P2","hondurenos-en-espana-guia-legal-completa","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","abogados-en-amapala-valle","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","registrar-marca-paso-a-paso-honduras","propiedad-intelectual","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","derecho-de-peticion-instituciones-honduras","derechos-ciudadanos","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","asuntos-familiares-honduras-espana","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","sar-notifica-fiscalizacion-que-hacer-honduras","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","recurso-de-amparo-para-que-sirve-honduras","derecho-administrativo","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","etapa-investigacion-proceso-penal-honduras","proceso-penal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","tributar-espana-bienes-guia","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","lavado-activos-obligaciones","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","antejuicio-en-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","responsabilidad-medica-mala-praxis-honduras","regulacion-sanitaria","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","estafas-fraudes-tipos-penales-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P1","fianza-medidas-cautelares-proceso-penal-honduras","derecho-penal","Pineda y Asociados","firm_historical_review","lawyer","Danilo Pineda Maradiaga","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/penal/batch-01.md","PENDING_RESIGNATURE"
"P3","guia-aduanera-importaciones-honduras","derecho-aduanero","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","actualizacion-legislativa-mensual-honduras","noticias-legales","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P1","danos-perjuicios-indemnizacion-honduras","derecho-civil","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/civil-notarial/batch-01.md","PENDING_RESIGNATURE"
"P2","patentes-requisitos-proceso-solicitud-honduras","propiedad-intelectual","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P1","violencia-intrafamiliar-denuncia-proteccion-honduras","derecho-de-familia","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","true","REVIEW_CHANGED_PARAGRAPHS","REVIEW_REQUIRED","docs/seo/review-packets/familia/batch-01.md","PENDING_RESIGNATURE"
"P3","banco-demanda-deuda-defensa-opciones-honduras","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
