"priority","url","area","primary_query","secondary_queries","clicks","impressions","ctr","position","legal_risk","content_quality","current_status","recommended_action","author_proposed","reviewer_proposed","batch","query_decision"
"18","https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-arrendamiento-derechos-obligaciones-honduras","derecho-civil","contrato de arrendamiento honduras","","0","1","0.0000","8.00","HIGH","SUPERFICIAL","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","GSC_QUERY_MATCHED"
"19","https://www.pinedayasociadoshn.com/blog/derecho-penal/fianza-medidas-cautelares-proceso-penal-honduras","derecho-penal","medidas cautelares proceso penal honduras","","0","2","0.0000","11.50","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","GSC_QUERY_MATCHED"
"20","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-esenciales-empresas-honduras","derecho-mercantil","contratos mercantiles para empresas honduras","","0","4","0.0000","6.25","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","GSC_QUERY_MATCHED"
"21","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/violencia-intrafamiliar-denuncia-proteccion-honduras","derecho-de-familia","denuncia violencia intrafamiliar honduras","","0","0","0.0000","0.00","HIGH","SUPERFICIAL","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Danilo Pineda Maradiaga","familia","NO_RELIABLE_GSC_QUERY"
"22","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/guarda-custodia-menores-tipos-honduras","derecho-de-familia","guarda y custodia de menores honduras","","0","0","0.0000","0.00","HIGH","SUPERFICIAL","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","familia","NO_RELIABLE_GSC_QUERY"
"23","https://www.pinedayasociadoshn.com/blog/derecho-penal/audiencia-inicial-proceso-penal-honduras","derecho-penal","audiencia inicial proceso penal honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","NO_RELIABLE_GSC_QUERY"
"24","https://www.pinedayasociadoshn.com/blog/derecho-penal/allanamiento-ilegal-violacion-domicilio-honduras","derecho-penal","allanamiento ilegal honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","NO_RELIABLE_GSC_QUERY"
"25","https://www.pinedayasociadoshn.com/blog/derecho-penal/derechos-detenido-honduras-guia-constitucional","derecho-penal","derechos del detenido en honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","NO_RELIABLE_GSC_QUERY"
"26","https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-injustificado-honduras-derechos-trabajador","derecho-laboral","derechos por despido injustificado honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","NO_RELIABLE_GSC_QUERY"
"27","https://www.pinedayasociadoshn.com/blog/derecho-laboral/calcular-prestaciones-laborales-honduras","derecho-laboral","calcular prestaciones laborales honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","NO_RELIABLE_GSC_QUERY"
"28","https://www.pinedayasociadoshn.com/blog/derecho-laboral/calcular-liquidacion-laboral-honduras","derecho-laboral","liquidación laboral honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","NO_RELIABLE_GSC_QUERY"
"29","https://www.pinedayasociadoshn.com/blog/derecho-laboral/jornada-laboral-horas-extra-descansos-honduras","derecho-laboral","jornada laboral horas extra honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","NO_RELIABLE_GSC_QUERY"
"30","https://www.pinedayasociadoshn.com/blog/derecho-laboral/acoso-laboral-mobbing-honduras","derecho-laboral","acoso laboral honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","NO_RELIABLE_GSC_QUERY"
"31","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/union-de-hecho-requisitos-derechos-honduras","derecho-de-familia","unión de hecho honduras requisitos","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","familia","NO_RELIABLE_GSC_QUERY"
"32","https://www.pinedayasociadoshn.com/blog/derecho-civil/testamentos-sucesiones-herencia-honduras","derecho-civil","testamento y sucesión honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","NO_RELIABLE_GSC_QUERY"
"33","https://www.pinedayasociadoshn.com/blog/derecho-civil/herencias-honduras-fallece-familiar","derecho-civil","trámite de herencia honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","NO_RELIABLE_GSC_QUERY"
"34","https://www.pinedayasociadoshn.com/blog/derecho-civil/compraventa-inmuebles-aspectos-legales-honduras","derecho-civil","compraventa de inmueble honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","NO_RELIABLE_GSC_QUERY"
"35","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-franquicia-aspectos","derecho-mercantil","contrato de franquicia honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","NO_RELIABLE_GSC_QUERY"
"36","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/incumplimiento-contrato-comercial-honduras","derecho-mercantil","incumplimiento contrato comercial honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","NO_RELIABLE_GSC_QUERY"
"37","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/constitucion-empresas-honduras-pasos-legales","derecho-mercantil","crear empresa en honduras pasos","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","NO_RELIABLE_GSC_QUERY"
"38","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras","derecho-mercantil","cheque sin fondos honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","NO_RELIABLE_GSC_QUERY"
"39","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/elegir-tipo-sociedad-empresa-honduras","derecho-mercantil","qué tipo de sociedad elegir honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","NO_RELIABLE_GSC_QUERY"
"40","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/tipos-sociedad-mercantil-honduras","derecho-mercantil","tipos de sociedades mercantiles honduras","","0","0","0.0000","0.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","NO_RELIABLE_GSC_QUERY"
