"slug","category","title","production_db_exists","production_published","production_url_status","production_sitemap","main_exists","preview_db_exists","preview_fixture_exists","preview_url_status","historically_visible","review_origin","signature_type","review_status","noindex","canonical","redirect_target","body_hash_production","body_hash_preview","missing_in_preview","recovery_action","reason","final_status"
"abogados-en-nacaome","practica-legal","Abogados en Nacaome, Valle: 15 Años de","true","false","308","false","true","true","false","","true","firm_historical_review","firm","reviewed","false","/abogados-en-nacaome","","sha256:5a5eaf497163","sha256:5a5eaf497163","false","RESTORE_HISTORICAL_ARTICLE","Artículo informativo de Nacaome recuperado según contrato canónico y pruebas de arquitectura.","RECOVERED"
"abogados-en-pespire-choluteca","practica-legal","Abogados en Pespire, Honduras: Asesoría Legal en","true","false","308","false","true","true","false","","true","firm_historical_review","firm","reviewed","false","","/abogados-en-pespire","sha256:4a0a96ac0d4a","sha256:4a0a96ac0d4a","false","KEEP_REDIRECT","Ruta histórica consolidada mediante redirect hacia landing local.","REDIRECT_PRESERVED"
"abogados-en-san-lorenzo","practica-legal","Abogados en San Lorenzo, Valle","true","false","308","false","true","true","false","","true","firm_historical_review","firm","reviewed","false","/abogados-en-san-lorenzo","/abogados-en-san-lorenzo","sha256:099fa23bdd3b","sha256:099fa23bdd3b","false","KEEP_REDIRECT","Ruta histórica consolidada mediante redirect hacia landing local.","REDIRECT_PRESERVED"
"abogados-en-san-marcos-de-colon-choluteca","practica-legal","Abogados en San Marcos de Colón, Honduras","true","false","308","false","true","true","false","","true","firm_historical_review","firm","reviewed","false","","/abogados-en-san-marcos-de-colon","sha256:8172350c88d8","sha256:8172350c88d8","false","KEEP_REDIRECT","Ruta histórica consolidada mediante redirect hacia landing local.","REDIRECT_PRESERVED"
"accidente-transito-choluteca","derecho-civil","Accidente de Tránsito en Choluteca","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:f5a1ba2c4347","sha256:f5a1ba2c4347","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"acoso-laboral-mobbing-honduras","derecho-laboral","Acoso Laboral en Honduras: Cómo Identificarlo y Denunciarlo Legalmente","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:038c7736619e","sha256:038c7736619e","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"actualizacion-legislativa-mensual-honduras","noticias-legales","¿Qué dice la ley hondureña sobre...? Actualización legislativa mensual","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:2d142a60a496","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"adopcion-requisitos-proceso-honduras","derecho-de-familia","Adopción en Honduras: Requisitos y Proceso","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:3c2c7cd60aec","sha256:3c2c7cd60aec","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"allanamiento-ilegal-violacion-domicilio-honduras","derecho-penal","Allanamiento Ilegal en Honduras - ¿Qué Hacer?","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:458cad4fdafe","sha256:458cad4fdafe","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"antejuicio-en-honduras","derecho-penal","Antejuicio en Honduras: qué es","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:00d0bccbd6e4","sha256:00d0bccbd6e4","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"arbitraje-cuando-conviene-como-funciona-honduras","conciliacion-arbitraje","Arbitraje en Honduras: cuándo conviene y cómo funciona","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:3dc531a7f21e","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"arbitraje-honduras-guia-completa","conciliacion-arbitraje","Arbitraje en Honduras: ¿Cuándo Conviene? Todo lo","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:962982abb9b2","sha256:962982abb9b2","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"arraigo-social-laboral-hondurenos-espana","hondurenos-en-espana","Arraigo social y laboral en España para","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:71af9b246cc0","sha256:71af9b246cc0","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"asuntos-familiares-honduras-espana","hondurenos-en-espana","Resuelve asuntos familiares en Honduras desde","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:23c41af3401e","sha256:23c41af3401e","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"audiencia-inicial-proceso-penal-honduras","derecho-penal","Audiencia inicial en Honduras: proceso y decisiones","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:88865dd44225","sha256:88865dd44225","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"banco-demanda-deuda-defensa-opciones-honduras","derecho-bancario","Demanda Bancaria en Honduras: 6 Defensas y Opciones Legales Frente al Banco","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:d23071217db7","sha256:d23071217db7","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"calcular-liquidacion-laboral-honduras","derecho-laboral","Liquidación Laboral en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:04cc41ef0cb2","sha256:04cc41ef0cb2","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"calcular-prestaciones-laborales-honduras","derecho-laboral","Calcula tus prestaciones laborales en Honduras","true","false","308","false","true","false","false","","false","","","reviewed","false","","","sha256:8dd6ed3850e0","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"central-riesgos-consultar-impugnar-honduras","derecho-bancario","Central de Riesgos en Honduras: Cómo Consultarla, Impugnar y Salir","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:bcd0e8e0480a","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"central-riesgos-honduras-consultar-impugnar","derecho-bancario","Central de Riesgos en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:2360140fcf23","sha256:2360140fcf23","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"centro-conciliacion-arbitraje-ccic","conciliacion-arbitraje","Conciliación y arbitraje en el CCIC de Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:66aa971fd8b0","sha256:66aa971fd8b0","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"clausulas-abusivas-contratos-como-detectar-honduras","derecho-civil","Cláusulas abusivas en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:5fd4a6a8b406","sha256:5fd4a6a8b406","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"cobro-deudas-choluteca","derecho-civil","Cobro Judicial de Deudas en Choluteca","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:5d1cc1ba0adc","sha256:5d1cc1ba0adc","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"codigo-aduanero-centroamericano","derecho-aduanero","CAUCA en Honduras: Código Aduanero","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:41e1adf554e7","sha256:41e1adf554e7","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"como-elegir-abogado-honduras","practica-legal","Cómo Elegir un Buen Abogado en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:290031e7548c","sha256:290031e7548c","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"como-elegir-buen-abogado-guia-practica-honduras","practica-legal","Cómo Elegir un Buen Abogado en Honduras: 8 Criterios Que...","true","false","308","false","true","false","false","","false","","","reviewed","true","","","sha256:ebd6cb23cf32","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"como-obtener-rtn-personas-empresas-honduras","practica-legal","RTN en Honduras: Guía para Obtenerlo y Requisitos","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:897d4feee2ae","sha256:897d4feee2ae","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"como-preparar-demanda-guia-no-abogados-honduras","practica-legal","Cómo redactar una demanda en Honduras (sin","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:1be8fe56f709","sha256:1be8fe56f709","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"competencia-desleal-como-denunciar-honduras","derecho-mercantil","Competencia Desleal en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:e49e658c3a01","sha256:e49e658c3a01","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"compraventa-inmuebles-aspectos-legales-honduras","derecho-civil","Compraventa de Inmuebles en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:f0a92b563b22","sha256:f0a92b563b22","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"constitucion-empresas-honduras-pasos-legales","derecho-mercantil","Constitución de empresas en Honduras: pasos legales básicos","true","false","308","false","true","false","false","","false","","","reviewed","false","","","sha256:4657cf87706c","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"constituir-empresa-guia-paso-a-paso-honduras","practica-legal","Constituir una empresa en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:0ca28b551e74","sha256:0ca28b551e74","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"contratacion-publica-licitaciones","derecho-administrativo","Contratación Pública en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","published","false","","","sha256:6c597aa9631b","sha256:6c597aa9631b","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"contratos-arrendamiento-derechos-obligaciones-honduras","derecho-civil","Contratos de Arrendamiento en Honduras","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:c045ac534bc2","sha256:c045ac534bc2","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"contratos-civiles-honduras-errores-comunes","derecho-civil","Contratos civiles en Honduras: errores comunes antes de firmar","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:4b07635633b4","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"contratos-confidencialidad-nda-secreto-comercial-honduras","propiedad-intelectual","Contratos de confidencialidad (NDA)","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:c77cb6e49983","sha256:c77cb6e49983","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"contratos-empleadas-domesticas-obligaciones-honduras","derecho-laboral","Contratos para Empleadas Domésticas en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:36b2608badb5","sha256:36b2608badb5","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"contratos-franquicia-aspectos","derecho-mercantil","Contratos de Franquicia en Honduras: Guia Legal","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:155d76544c53","sha256:155d76544c53","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"contratos-mercantiles-esenciales-empresas-honduras","derecho-mercantil","Contratos Mercantiles en Honduras: 5 Esenciales","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:7aec743208b4","sha256:7aec743208b4","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"contratos-mercantiles-proteger-negocio","derecho-mercantil","Contratos mercantiles: claves para proteger tu negocio","true","false","308","false","true","false","false","","false","","","reviewed","false","","","sha256:983bf3c6643c","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"contratos-trabajo-tipos-clausulas-honduras","derecho-laboral","Contratos de Trabajo en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:833152c90f6f","sha256:833152c90f6f","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"costos-honorarios-abogados-como-funcionan-honduras","practica-legal","Honorarios de Abogados en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:940925f52ae0","sha256:940925f52ae0","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"creditos-reestructuracion-deudas","derecho-bancario","Reestructuración de Deuda en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:7ecaf7761ad7","sha256:7ecaf7761ad7","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"cuando-necesito-abogado-penalista-honduras","derecho-penal","¿Cuándo necesito un abogado penalista en","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:cb4a495154c3","sha256:cb4a495154c3","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"cuando-prescribe-delito-en-honduras","derecho-penal","¿Cuándo Prescribe un Delito en Honduras? Plazos","true","true","200","true","true","true","true","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:60988525da86","sha256:60988525da86","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"custodia-hijos-honduras-juez","derecho-de-familia","Custodia de Hijos en Honduras 2026","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:4be33fee9d83","sha256:4be33fee9d83","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"danos-perjuicios-indemnizacion-honduras","derecho-civil","Daños y Perjuicios en Honduras: Demanda e Indemnización","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:d278f3eb2cfa","sha256:d278f3eb2cfa","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"defensa-penal-honduras","derecho-penal","Defensa penal en Honduras: primeras 24 horas","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:235caf1b2325","sha256:235caf1b2325","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"defensa-penal-menores-edad-honduras","derecho-penal","Defensa Penal Juvenil en Honduras: Guía Completa","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:80322667de1c","sha256:80322667de1c","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"defensa-sar-choluteca","tributario","Defensa ante el SAR en Choluteca","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:031bf3ac73b2","sha256:031bf3ac73b2","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"delitos-ambientales-como-denunciarlos-honduras","derecho-ambiental","Delitos ambientales en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:cf7b1dcf7394","sha256:cf7b1dcf7394","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"delitos-mas-comunes-honduras","derecho-penal","Delitos Más Comunes en Honduras: Guía Legal","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:bc2b09050bbf","sha256:bc2b09050bbf","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"demanda-laboral-choluteca","derecho-laboral","Demanda Laboral en Choluteca (Honduras)","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:cdc19f66d72a","sha256:cdc19f66d72a","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derecho-ambiental-honduras","derecho-ambiental","Derecho Ambiental en Honduras: Licencias, Delitos","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:d7024be5f211","sha256:d7024be5f211","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derecho-de-peticion-instituciones-honduras","derechos-ciudadanos","Derecho de Petición en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:837eac672aae","sha256:837eac672aae","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derechos-consumidor-financiero-cnbs-honduras","derecho-bancario","Derechos del consumidor financiero en Honduras: guía CNBS","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:89965f0ce67c","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"derechos-consumidor-financiero-honduras-cnbs","derecho-bancario","Derechos del consumidor financiero en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:8b0f314f0dcb","sha256:8b0f314f0dcb","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derechos-de-autor-proteccion-registro-honduras","propiedad-intelectual","Derechos de Autor en Honduras: Protección y Registro de Obras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:af64c5c2cf19","sha256:af64c5c2cf19","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derechos-del-detenido-guia-constitucional-honduras","derechos-ciudadanos","Derechos del detenido en Honduras: guía constitucional completa","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:481df6fa7e55","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"derechos-detenido-honduras-guia-constitucional","derecho-penal","Derechos del detenido en Honduras: explicación práctica","true","true","200","true","true","true","true","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:3f91757e7b5c","sha256:3f91757e7b5c","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derechos-indigenas-consulta-previa-honduras","derecho-ambiental","Guía completa de derechos indígenas y consulta","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:77156fca0870","sha256:77156fca0870","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derechos-laborales-basicos-honduras","derecho-laboral","Derechos laborales básicos en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:fd922acbd53f","sha256:fd922acbd53f","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"derechos-trabajadora-embarazada-honduras","derecho-laboral","Despido por Embarazo en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:002e65b16543","sha256:002e65b16543","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"despido-empleados-publicos-honduras","derecho-administrativo","Despido de empleados públicos en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:04982b73e6ee","sha256:04982b73e6ee","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"despido-empleados-publicos-procedencia-defensa-honduras","derecho-administrativo","Despido de Empleados Públicos en Honduras: Procedencia y Defensa","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:a7d04e1da491","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"despido-injustificado-honduras-derechos-trabajador","derecho-laboral","Despido Injustificado en Honduras","true","false","308","false","true","false","true","","false","","","reviewed","false","","","sha256:c442bbf1368a","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"despido-laboral-honduras-derechos","derecho-laboral","Despido laboral en Honduras: derechos y cómo","true","false","308","false","true","false","false","","false","","","reviewed","false","","","sha256:c7bfc110cd28","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"despido-laboral-honduras-guia-completa","derecho-laboral","Despido Laboral en Honduras: Guia de","true","true","200","true","true","true","true","","true","firm_historical_review","firm","reviewed","false","","","sha256:0420e76a41f2","sha256:0420e76a41f2","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"devolucion-impuestos-como-solicitarla-honduras","tributario","Devolución de impuestos en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:98e7ace1e5ca","sha256:98e7ace1e5ca","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"diferencia-denuncia-querella-acusacion-honduras","derecho-penal","Denuncia vs querella y acusación en Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:0102707b9d88","sha256:0102707b9d88","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"divorcio-choluteca","derecho-de-familia","Divorcio en Choluteca","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:4546d4d3f7ff","sha256:4546d4d3f7ff","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"divorcio-express-mutuo-acuerdo-honduras","derecho-de-familia","Divorcio express por mutuo acuerdo en Honduras","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:e037ffc36b3b","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"divorcio-honduras-guia-completa","derecho-de-familia","Divorcio en Honduras: 3 vías, requisitos y plazos","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:3c2dbf4a9c86","sha256:3c2dbf4a9c86","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"divorcio-honduras-pasos-requisitos","derecho-de-familia","Divorcio en Honduras: pasos, requisitos y consejos legales","true","false","308","false","true","false","false","","false","","","published","false","/blog/derecho-de-familia/divorcio-honduras-guia-completa","","sha256:d00ab52550b2","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"divorcio-tipos-requisitos-tiempos-honduras","derecho-de-familia","Tipos de Divorcio en Honduras: Comparativa de Plazos,...","true","false","308","false","true","false","false","","false","","","reviewed","true","","","sha256:f7d7903d43d0","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"ejecucion-hipotecaria-honduras-que-hacer","derecho-bancario","Ejecución hipotecaria en Honduras: qué hacer","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:4813c9f1ff13","sha256:4813c9f1ff13","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"ejecucion-hipotecaria-que-hacer-honduras","derecho-bancario","Ejecución hipotecaria en Honduras: qué hacer ante una demanda","true","false","308","false","true","false","false","","false","","","published","false","","","sha256:506eeabd79c2","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
