"priority","article","area","author_proposed","reviewer_proposed","change_type","claims_count","sources_count","gsc_impressions","gsc_clicks","risk","review_packet","status"
"40","https://www.pinedayasociadoshn.com/blog/derecho-penal/violencia-domestica-ruta-legal-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"41","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-tipos-requisitos-tiempos-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"42","https://www.pinedayasociadoshn.com/blog/derecho-laboral/acoso-laboral-mobbing-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"43","https://www.pinedayasociadoshn.com/blog/derecho-laboral/jornada-laboral-horas-extra-descansos-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"44","https://www.pinedayasociadoshn.com/blog/derecho-penal/delitos-mas-comunes-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"45","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-express-mutuo-acuerdo-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"46","https://www.pinedayasociadoshn.com/blog/derecho-penal/audiencia-inicial-proceso-penal-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"47","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/union-de-hecho-requisitos-derechos-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"48","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/violencia-intrafamiliar-denuncia-proteccion-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","CONTENT_REWRITE_REQUIRED","2","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"49","https://www.pinedayasociadoshn.com/blog/derecho-civil/usucapion-prescripcion-adquisitiva-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"50","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-pasos-requisitos","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"51","https://www.pinedayasociadoshn.com/blog/derecho-civil/compraventa-inmuebles-aspectos-legales-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"52","https://www.pinedayasociadoshn.com/blog/derecho-laboral/demanda-laboral-choluteca","derecho-laboral","Emil Barahona","Thania Marlene Paz","READY_FOR_LAWYER_REVIEW","6","1","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"53","https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"54","https://www.pinedayasociadoshn.com/blog/derecho-civil/errores-contratos-civiles-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"55","https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-injustificado-honduras-derechos-trabajador","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"56","https://www.pinedayasociadoshn.com/blog/derecho-laboral/abogado-laboral-choluteca","derecho-laboral","Emil Barahona","Thania Marlene Paz","READY_FOR_LAWYER_REVIEW","6","1","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"57","https://www.pinedayasociadoshn.com/blog/derecho-civil/accidente-transito-choluteca","derecho-civil","Thania Marlene Paz","Emil Barahona","READY_FOR_LAWYER_REVIEW","6","1","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"58","https://www.pinedayasociadoshn.com/blog/derecho-penal/abogado-penalista-choluteca","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","READY_FOR_LAWYER_REVIEW","5","1","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"59","https://www.pinedayasociadoshn.com/blog/derecho-laboral/calcular-liquidacion-laboral-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"60","https://www.pinedayasociadoshn.com/blog/derecho-laboral/calcular-prestaciones-laborales-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","8","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"61","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-choluteca","derecho-de-familia","Thania Marlene Paz","Emil Barahona","READY_FOR_LAWYER_REVIEW","5","1","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"62","https://www.pinedayasociadoshn.com/blog/derecho-penal/medidas-sustitutivas-prision-preventiva-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"63","https://www.pinedayasociadoshn.com/blog/derecho-laboral/derechos-laborales-basicos-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"64","https://www.pinedayasociadoshn.com/blog/derecho-civil/servicios-legales-empresas-sur-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"65","https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita","derecho-notarial","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","82","0","MEDIUM","","lawyer_review_pending"
"66","https://www.pinedayasociadoshn.com/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras","proceso-penal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","8","0","59","0","MEDIUM","","lawyer_review_pending"
"67","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena","extranjeria-migracion","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","44","0","MEDIUM","","lawyer_review_pending"
"68","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/competencia-desleal-como-denunciar-honduras","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","42","5","MEDIUM","","lawyer_review_pending"
"69","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras","derecho-administrativo","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","37","2","MEDIUM","","lawyer_review_pending"
"70","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras","regulacion-sanitaria","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","3","1","6","0","MEDIUM","","lawyer_review_pending"
"71","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","derecho-ambiental","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","6","0","MEDIUM","","lawyer_review_pending"
"72","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/contratacion-publica-licitaciones","derecho-administrativo","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","6","0","MEDIUM","","lawyer_review_pending"
"73","https://www.pinedayasociadoshn.com/blog/proceso-penal/juicio-oral-etapas-que-esperar-honduras","proceso-penal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","8","0","6","0","MEDIUM","","lawyer_review_pending"
"74","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-esenciales-empresas-honduras","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","4","0","MEDIUM","","lawyer_review_pending"
"75","https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/residencia-temporal-requisitos-plazos-honduras","extranjeria-migracion","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","3","0","3","0","MEDIUM","","lawyer_review_pending"
"76","https://www.pinedayasociadoshn.com/blog/proceso-penal/recursos-sentencia-penal-apelacion-casacion-honduras","proceso-penal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","CONTENT_REWRITE_REQUIRED","3","0","3","0","MEDIUM","","lawyer_review_pending"
"77","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/recurso-de-amparo-honduras-guia-completa","derecho-administrativo","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","3","1","MEDIUM","","lawyer_review_pending"
"78","https://www.pinedayasociadoshn.com/blog/derecho-bancario/ejecucion-hipotecaria-honduras-que-hacer","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","2","0","MEDIUM","","lawyer_review_pending"
"79","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-lorenzo","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","2","0","MEDIUM","","lawyer_review_pending"
"80","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/importaciones-san-lorenzo","derecho-aduanero","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","2","0","MEDIUM","","lawyer_review_pending"
"81","https://www.pinedayasociadoshn.com/blog/proceso-penal/etapa-investigacion-proceso-penal-honduras","proceso-penal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","2","0","MEDIUM","","lawyer_review_pending"
"82","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/responsabilidad-medica-mala-praxis-honduras","regulacion-sanitaria","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","2","0","MEDIUM","","lawyer_review_pending"
"83","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras","regulacion-sanitaria","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","1","0","MEDIUM","","lawyer_review_pending"
"84","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/presentar-denuncia-conadeh-honduras","derechos-ciudadanos","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","4","6","1","0","MEDIUM","","lawyer_review_pending"
"85","https://www.pinedayasociadoshn.com/blog/tributario/sar-notifica-fiscalizacion-que-hacer-honduras","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","1","0","MEDIUM","","lawyer_review_pending"
"86","https://www.pinedayasociadoshn.com/blog/derecho-notarial/tramites-notariales-frecuentes-honduras","derecho-notarial","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","1","0","MEDIUM","","lawyer_review_pending"
"87","https://www.pinedayasociadoshn.com/blog/tributario/devolucion-impuestos-como-solicitarla-honduras","tributario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","5","1","0","0","MEDIUM","","lawyer_review_pending"
"88","https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"89","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana","hondurenos-en-espana","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"90","https://www.pinedayasociadoshn.com/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras","practica-legal","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"91","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","derecho-aduanero","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"92","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales","regulacion-sanitaria","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"93","https://www.pinedayasociadoshn.com/blog/noticias-legales/reformas-legales-recientes-honduras","noticias-legales","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
"94","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/contratos-mercantiles-proteger-negocio","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","MEDIUM","","lawyer_review_pending"
"95","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","0","0","MEDIUM","","lawyer_review_pending"
"96","https://www.pinedayasociadoshn.com/blog/derecho-bancario/creditos-reestructuracion-deudas","derecho-bancario","HUMAN_ASSIGNMENT_REQUIRED","HUMAN_ASSIGNMENT_REQUIRED","DOCUMENTARY_REVIEW_READY","7","0","0","0","MEDIUM","","lawyer_review_pending"
"97","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/constitucion-empresas-honduras-pasos-legales","derecho-mercantil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","MEDIUM","","lawyer_review_pending"
